an,ci,:2180734.000000
an,n,:6330.000000
chn,ci,:441308.000000
ci,mc,:2333029.000000
ci,mi,:341949.000000
ci,mk,:4045204.000000
ci,n,:6337.000000
ci,rt,:27067.000000
ci,t,:139184.000000
cn,mc,:944850.000000
it,mi,:3384.000000
k,mk,:101.000000
mc,mi,:1923578.000000
mc,mk,:22755610.000000
mc,t,:402505.000000
mi,mk,:4656225.000000
mi,t,:58995.000000
mk,t,:697897.000000
an,chn,ci,:883670.000000
an,ci,mc,:4671630.000000
an,ci,mi,:684715.000000
an,ci,mk,:8100069.000000
an,ci,n,:12688.000000
an,ci,rt,:54198.000000
an,ci,t,:278701.000000
chn,ci,mc,:2071947.000000
chn,ci,mi,:303683.000000
chn,ci,mk,:3592518.000000
chn,ci,n,:5627.000000
chn,ci,rt,:24038.000000
chn,ci,t,:123609.000000
ci,cn,mc,:560612.000000
ci,mc,mi,:1141324.000000
ci,mc,mk,:13501678.000000
ci,mc,n,:10873.000000
ci,mc,rt,:46443.000000
ci,mc,t,:238820.000000
ci,it,mi,:1184.000000
ci,mi,mk,:1628912.000000
ci,mi,n,:940.000000
ci,mi,rt,:4013.000000
ci,mi,t,:20638.000000
ci,k,mk,:102.000000
ci,mk,n,:32135.000000
ci,mk,rt,:137264.000000
ci,mk,t,:705850.000000
ci,n,rt,:197.000000
ci,n,t,:1011.000000
ci,rt,t,:42604.000000
cn,mc,mi,:850637.000000
cn,mc,mk,:10062890.000000
cn,mc,t,:177994.000000
it,mc,mi,:1515268.000000
it,mi,mk,:3667868.000000
it,mi,t,:46472.000000
k,mc,mk,:48771.000000
k,mi,mk,:9980.000000
k,mk,t,:1496.000000
mc,mi,mk,:5640588.000000
mc,mi,t,:71467.000000
mc,mk,t,:5378340.000000
mi,mk,t,:147303.000000
chn,ci,it,k,mi,mk,t,:1613.000000
chn,ci,it,mi,mk,n,rt,:448.000000
chn,ci,it,mi,mk,n,t,:2304.000000
chn,ci,it,mi,mk,rt,t,:66721.000000
chn,ci,it,mi,n,rt,t,:149.000000
chn,ci,k,mi,mk,n,rt,:3.000000
chn,ci,k,mi,mk,n,t,:17.000000
chn,ci,k,mi,mk,rt,t,:365.000000
chn,ci,mi,mk,n,rt,t,:2304.000000
chn,ci,k,mk,n,rt,t,:48.000000
ci,cn,it,k,mc,mi,mk,:156.000000
ci,cn,it,mc,mi,mk,n,:49000.000000
ci,cn,it,mc,mi,mk,rt,:209301.000000
ci,cn,it,mc,mi,mk,t,:1076280.000000
ci,cn,it,mc,mi,n,rt,:54.000000
ci,cn,it,mc,mi,n,t,:277.000000
ci,cn,it,mc,mi,rt,t,:7411.000000
ci,cn,k,mc,mi,mk,n,:281.000000
ci,cn,k,mc,mi,mk,rt,:1199.000000
ci,cn,k,mc,mi,mk,t,:6165.000000
ci,cn,mc,mi,mk,n,rt,:1950.000000
ci,cn,mc,mi,mk,n,t,:10026.000000
ci,cn,mc,mi,mk,rt,t,:266850.000000
ci,cn,mc,mi,n,rt,t,:277.000000
ci,cn,k,mc,mk,n,rt,:35.000000
ci,cn,k,mc,mk,n,t,:181.000000
ci,cn,k,mc,mk,rt,t,:3874.000000
ci,cn,mc,mk,n,rt,t,:20527.000000
ci,it,k,mc,mi,mk,n,:743.000000
ci,it,k,mc,mi,mk,rt,:3175.000000
ci,it,k,mc,mi,mk,t,:16325.000000
ci,it,mc,mi,mk,n,rt,:8145.000000
ci,it,mc,mi,mk,n,t,:41882.000000
ci,it,mc,mi,mk,rt,t,:1037593.000000
ci,it,mc,mi,n,rt,t,:826.000000
ci,k,mc,mi,mk,n,rt,:38.000000
ci,k,mc,mi,mk,n,t,:195.000000
ci,k,mc,mi,mk,rt,t,:4053.000000
ci,mc,mi,mk,n,rt,t,:41882.000000
ci,k,mc,mk,n,rt,t,:482.000000
ci,it,k,mi,mk,n,rt,:4.000000
ci,it,k,mi,mk,n,t,:18.000000
ci,it,k,mi,mk,rt,t,:378.000000
ci,it,mi,mk,n,rt,t,:2409.000000
ci,k,mi,mk,n,rt,t,:18.000000
cn,it,k,mc,mi,mk,t,:1223.000000
an,chn,ci,cn,it,mc,mi,mk,:4376073.000000
an,chn,ci,cn,it,mc,mi,n,:2524.000000
an,chn,ci,cn,it,mc,mi,rt,:10782.000000
an,chn,ci,cn,it,mc,mi,t,:55445.000000
an,chn,ci,cn,k,mc,mi,mk,:235.000000
an,chn,ci,cn,mc,mi,mk,n,:73802.000000
an,chn,ci,cn,mc,mi,mk,rt,:315243.000000
an,chn,ci,cn,mc,mi,mk,t,:1621062.000000
an,chn,ci,cn,mc,mi,n,rt,:89.000000
an,chn,ci,cn,mc,mi,n,t,:457.000000
an,chn,ci,cn,mc,mi,rt,t,:14914.000000
an,chn,ci,cn,k,mc,mk,n,:1561.000000
an,chn,ci,cn,k,mc,mk,rt,:6668.000000
an,chn,ci,cn,k,mc,mk,t,:34287.000000
an,chn,ci,cn,mc,mk,n,rt,:4406.000000
an,chn,ci,cn,mc,mk,n,t,:22658.000000
an,chn,ci,cn,mc,mk,rt,t,:1022184.000000
an,chn,ci,cn,mc,n,rt,t,:1256.000000
an,chn,ci,it,k,mc,mi,mk,:822.000000
an,chn,ci,it,mc,mi,mk,n,:258188.000000
an,chn,ci,it,mc,mi,mk,rt,:1102845.000000
an,chn,ci,it,mc,mi,mk,t,:5671121.000000
an,chn,ci,it,mc,mi,n,rt,:247.000000
an,chn,ci,it,mc,mi,n,t,:1269.000000
an,chn,ci,it,mc,mi,rt,t,:35483.000000
an,chn,ci,k,mc,mi,mk,n,:1452.000000
an,chn,ci,k,mc,mi,mk,rt,:6202.000000
an,chn,ci,k,mc,mi,mk,t,:31892.000000
an,chn,ci,mc,mi,mk,n,rt,:12581.000000
an,chn,ci,mc,mi,mk,n,t,:64696.000000
an,chn,ci,mc,mi,mk,rt,t,:1377362.000000
an,chn,ci,mc,mi,n,rt,t,:1269.000000
an,chn,ci,k,mc,mk,n,rt,:124.000000
an,chn,ci,k,mc,mk,n,t,:635.000000
an,chn,ci,k,mc,mk,rt,t,:17482.000000
an,chn,ci,mc,mk,n,rt,t,:76756.000000
an,chn,ci,it,k,mi,mk,n,:166.000000
an,chn,ci,it,k,mi,mk,rt,:710.000000
an,chn,ci,it,k,mi,mk,t,:3653.000000
an,chn,ci,it,mi,mk,n,rt,:593.000000
an,chn,ci,it,mi,mk,n,t,:3050.000000
an,chn,ci,it,mi,mk,rt,t,:103493.000000
an,chn,ci,it,mi,n,rt,t,:224.000000
an,chn,ci,k,mi,mk,n,rt,:5.000000
an,chn,ci,k,mi,mk,n,t,:27.000000
an,chn,ci,k,mi,mk,rt,t,:672.000000
an,chn,ci,mi,mk,n,rt,t,:3050.000000
an,chn,ci,k,mk,n,rt,t,:62.000000
an,ci,cn,it,k,mc,mi,mk,:250.000000
an,ci,cn,it,mc,mi,mk,n,:78546.000000
an,ci,cn,it,mc,mi,mk,rt,:335509.000000
an,ci,cn,it,mc,mi,mk,t,:1725274.000000
an,ci,cn,it,mc,mi,n,rt,:91.000000
an,ci,cn,it,mc,mi,n,t,:467.000000
an,ci,cn,it,mc,mi,rt,t,:15735.000000
an,ci,cn,k,mc,mi,mk,n,:591.000000
an,ci,cn,k,mc,mi,mk,rt,:2524.000000
an,ci,cn,k,mc,mi,mk,t,:12980.000000
an,ci,cn,mc,mi,mk,n,rt,:2864.000000
an,ci,cn,mc,mi,mk,n,t,:14727.000000
an,ci,cn,mc,mi,mk,rt,t,:414484.000000
an,ci,cn,mc,mi,n,rt,t,:467.000000
an,ci,cn,k,mc,mk,n,rt,:42.000000
an,ci,cn,k,mc,mk,n,t,:218.000000
an,ci,cn,k,mc,mk,rt,t,:7739.000000
an,ci,cn,mc,mk,n,rt,t,:23730.000000
an,ci,it,k,mc,mi,mk,n,:1506.000000
an,ci,it,k,mc,mi,mk,rt,:6434.000000
an,ci,it,k,mc,mi,mk,t,:33087.000000
an,ci,it,mc,mi,mk,n,rt,:12739.000000
an,ci,it,mc,mi,mk,n,t,:65505.000000
an,ci,it,mc,mi,mk,rt,t,:1615820.000000
an,ci,it,mc,mi,n,rt,t,:1291.000000
an,ci,k,mc,mi,mk,n,rt,:64.000000
an,ci,k,mc,mi,mk,n,t,:328.000000
an,ci,k,mc,mi,mk,rt,t,:6913.000000
an,ci,mc,mi,mk,n,rt,t,:65505.000000
an,ci,k,mc,mk,n,rt,t,:640.000000
an,ci,it,k,mi,mk,n,rt,:5.000000
an,ci,it,k,mi,mk,n,t,:27.000000
an,ci,it,k,mi,mk,rt,t,:687.000000
an,ci,it,mi,mk,n,rt,t,:3118.000000
an,ci,k,mi,mk,n,rt,t,:27.000000
chn,ci,cn,it,k,mc,mi,mk,:147.000000
chn,ci,cn,it,mc,mi,mk,n,:46128.000000
chn,ci,cn,it,mc,mi,mk,rt,:197036.000000
chn,ci,cn,it,mc,mi,mk,t,:1013212.000000
chn,ci,cn,it,mc,mi,n,rt,:51.000000
chn,ci,cn,it,mc,mi,n,t,:262.000000
chn,ci,cn,it,mc,mi,rt,t,:6936.000000
chn,ci,cn,k,mc,mi,mk,n,:269.000000
chn,ci,cn,k,mc,mi,mk,rt,:1149.000000
chn,ci,cn,k,mc,mi,mk,t,:5906.000000
chn,ci,cn,mc,mi,mk,n,rt,:1860.000000
chn,ci,cn,mc,mi,mk,n,t,:9564.000000
chn,ci,cn,mc,mi,mk,rt,t,:245079.000000
chn,ci,cn,mc,mi,n,rt,t,:262.000000
chn,ci,cn,k,mc,mk,n,rt,:33.000000
chn,ci,cn,k,mc,mk,n,t,:171.000000
chn,ci,cn,k,mc,mk,rt,t,:3558.000000
chn,ci,cn,mc,mk,n,rt,t,:18900.000000
chn,ci,it,k,mc,mi,mk,n,:703.000000
chn,ci,it,k,mc,mi,mk,rt,:3001.000000
chn,ci,it,k,mc,mi,mk,t,:15433.000000
chn,ci,it,mc,mi,mk,n,rt,:7781.000000
chn,ci,it,mc,mi,mk,n,t,:40013.000000
chn,ci,it,mc,mi,mk,rt,t,:930105.000000
chn,ci,it,mc,mi,n,rt,t,:780.000000
chn,ci,k,mc,mi,mk,n,rt,:35.000000
chn,ci,k,mc,mi,mk,n,t,:182.000000
chn,ci,k,mc,mi,mk,rt,t,:3790.000000
chn,ci,mc,mi,mk,n,rt,t,:40013.000000
chn,ci,k,mc,mk,n,rt,t,:456.000000
chn,ci,it,k,mi,mk,n,rt,:3.000000
chn,ci,it,k,mi,mk,n,t,:17.000000
chn,ci,it,k,mi,mk,rt,t,:365.000000
chn,ci,it,mi,mk,n,rt,t,:2304.000000
chn,ci,k,mi,mk,n,rt,t,:17.000000
ci,cn,it,k,mc,mi,mk,n,:281.000000
ci,cn,it,k,mc,mi,mk,rt,:1199.000000
ci,cn,it,k,mc,mi,mk,t,:6165.000000
ci,cn,it,mc,mi,mk,n,rt,:1950.000000
ci,cn,it,mc,mi,mk,n,t,:10026.000000
ci,cn,it,mc,mi,mk,rt,t,:266850.000000
ci,cn,it,mc,mi,n,rt,t,:277.000000
ci,cn,k,mc,mi,mk,n,rt,:15.000000
ci,cn,k,mc,mi,mk,n,t,:78.000000
ci,cn,k,mc,mi,mk,rt,t,:1439.000000
ci,cn,mc,mi,mk,n,rt,t,:10026.000000
ci,cn,k,mc,mk,n,rt,t,:180.000000
ci,it,k,mc,mi,mk,n,rt,:38.000000
ci,it,k,mc,mi,mk,n,t,:195.000000
ci,it,k,mc,mi,mk,rt,t,:4053.000000
ci,it,mc,mi,mk,n,rt,t,:41882.000000
ci,k,mc,mi,mk,n,rt,t,:195.000000
ci,it,k,mi,mk,n,rt,t,:18.000000
an,chn,ci,cn,it,k,mc,mi,mk,:235.000000
an,chn,ci,cn,it,mc,mi,mk,n,:73802.000000
an,chn,ci,cn,it,mc,mi,mk,rt,:315243.000000
an,chn,ci,cn,it,mc,mi,mk,t,:1621062.000000
an,chn,ci,cn,it,mc,mi,n,rt,:89.000000
an,chn,ci,cn,it,mc,mi,n,t,:457.000000
an,chn,ci,cn,it,mc,mi,rt,t,:14914.000000
an,chn,ci,cn,k,mc,mi,mk,n,:575.000000
an,chn,ci,cn,k,mc,mi,mk,rt,:2457.000000
an,chn,ci,cn,k,mc,mi,mk,t,:12632.000000
an,chn,ci,cn,mc,mi,mk,n,rt,:2829.000000
an,chn,ci,cn,mc,mi,mk,n,t,:14546.000000
an,chn,ci,cn,mc,mi,mk,rt,t,:366209.000000
an,chn,ci,cn,mc,mi,n,rt,t,:457.000000
an,chn,ci,cn,k,mc,mk,n,rt,:42.000000
an,chn,ci,cn,k,mc,mk,n,t,:216.000000
an,chn,ci,cn,k,mc,mk,rt,t,:7221.000000
an,chn,ci,cn,mc,mk,n,rt,t,:22658.000000
an,chn,ci,it,k,mc,mi,mk,n,:1452.000000
an,chn,ci,it,k,mc,mi,mk,rt,:6202.000000
an,chn,ci,it,k,mc,mi,mk,t,:31892.000000
an,chn,ci,it,mc,mi,mk,n,rt,:12581.000000
an,chn,ci,it,mc,mi,mk,n,t,:64696.000000
an,chn,ci,it,mc,mi,mk,rt,t,:1377362.000000
an,chn,ci,it,mc,mi,n,rt,t,:1269.000000
an,chn,ci,k,mc,mi,mk,n,rt,:64.000000
an,chn,ci,k,mc,mi,mk,n,t,:327.000000
an,chn,ci,k,mc,mi,mk,rt,t,:6554.000000
an,chn,ci,mc,mi,mk,n,rt,t,:64696.000000
an,chn,ci,k,mc,mk,n,rt,t,:635.000000
an,chn,ci,it,k,mi,mk,n,rt,:5.000000
an,chn,ci,it,k,mi,mk,n,t,:27.000000
an,chn,ci,it,k,mi,mk,rt,t,:672.000000
an,chn,ci,it,mi,mk,n,rt,t,:3050.000000
an,chn,ci,k,mi,mk,n,rt,t,:27.000000
an,ci,cn,it,k,mc,mi,mk,n,:591.000000
an,ci,cn,it,k,mc,mi,mk,rt,:2524.000000
an,ci,cn,it,k,mc,mi,mk,t,:12980.000000
an,ci,cn,it,mc,mi,mk,n,rt,:2864.000000
an,ci,cn,it,mc,mi,mk,n,t,:14727.000000
an,ci,cn,it,mc,mi,mk,rt,t,:414484.000000
an,ci,cn,it,mc,mi,n,rt,t,:467.000000
an,ci,cn,k,mc,mi,mk,n,rt,:21.000000
an,ci,cn,k,mc,mi,mk,n,t,:109.000000
an,ci,cn,k,mc,mi,mk,rt,t,:2553.000000
an,ci,cn,mc,mi,mk,n,rt,t,:14727.000000
an,ci,cn,k,mc,mk,n,rt,t,:218.000000
an,ci,it,k,mc,mi,mk,n,rt,:64.000000
an,ci,it,k,mc,mi,mk,n,t,:328.000000
an,ci,it,k,mc,mi,mk,rt,t,:6913.000000
an,ci,it,mc,mi,mk,n,rt,t,:65505.000000
an,ci,k,mc,mi,mk,n,rt,t,:328.000000
an,ci,it,k,mi,mk,n,rt,t,:27.000000
chn,ci,cn,it,k,mc,mi,mk,n,:269.000000
chn,ci,cn,it,k,mc,mi,mk,rt,:1149.000000
chn,ci,cn,it,k,mc,mi,mk,t,:5906.000000
chn,ci,cn,it,mc,mi,mk,n,rt,:1860.000000
chn,ci,cn,it,mc,mi,mk,n,t,:9564.000000
chn,ci,cn,it,mc,mi,mk,rt,t,:245079.000000
chn,ci,cn,it,mc,mi,n,rt,t,:262.000000
chn,ci,cn,k,mc,mi,mk,n,rt,:14.000000
chn,ci,cn,k,mc,mi,mk,n,t,:73.000000
chn,ci,cn,k,mc,mi,mk,rt,t,:1360.000000
chn,ci,cn,mc,mi,mk,n,rt,t,:9564.000000
chn,ci,cn,k,mc,mk,n,rt,t,:171.000000
chn,ci,it,k,mc,mi,mk,n,rt,:35.000000
chn,ci,it,k,mc,mi,mk,n,t,:182.000000
chn,ci,it,k,mc,mi,mk,rt,t,:3790.000000
chn,ci,it,mc,mi,mk,n,rt,t,:40013.000000
chn,ci,k,mc,mi,mk,n,rt,t,:182.000000
chn,ci,it,k,mi,mk,n,rt,t,:17.000000
ci,cn,it,k,mc,mi,mk,n,rt,:15.000000
ci,cn,it,k,mc,mi,mk,n,t,:78.000000
ci,cn,it,k,mc,mi,mk,rt,t,:1439.000000
ci,cn,it,mc,mi,mk,n,rt,t,:10026.000000
ci,cn,k,mc,mi,mk,n,rt,t,:78.000000
ci,it,k,mc,mi,mk,n,rt,t,:195.000000
an,chn,ci,cn,it,k,mc,mi,mk,n,:575.000000
an,chn,ci,cn,it,k,mc,mi,mk,rt,:2457.000000
an,chn,ci,cn,it,k,mc,mi,mk,t,:12632.000000
an,chn,ci,cn,it,mc,mi,mk,n,rt,:2829.000000
an,chn,ci,cn,it,mc,mi,mk,n,t,:14546.000000
an,chn,ci,cn,it,mc,mi,mk,rt,t,:366209.000000
an,chn,ci,cn,it,mc,mi,n,rt,t,:457.000000
an,chn,ci,cn,k,mc,mi,mk,n,rt,:21.000000
an,chn,ci,cn,k,mc,mi,mk,n,t,:109.000000
an,chn,ci,cn,k,mc,mi,mk,rt,t,:2448.000000
an,chn,ci,cn,mc,mi,mk,n,rt,t,:14546.000000
an,chn,ci,cn,k,mc,mk,n,rt,t,:216.000000
an,chn,ci,it,k,mc,mi,mk,n,rt,:64.000000
an,chn,ci,it,k,mc,mi,mk,n,t,:327.000000
an,chn,ci,it,k,mc,mi,mk,rt,t,:6554.000000
an,chn,ci,it,mc,mi,mk,n,rt,t,:64696.000000
an,chn,ci,k,mc,mi,mk,n,rt,t,:327.000000
an,chn,ci,it,k,mi,mk,n,rt,t,:27.000000
an,ci,cn,it,k,mc,mi,mk,n,rt,:21.000000
an,ci,cn,it,k,mc,mi,mk,n,t,:109.000000
an,ci,cn,it,k,mc,mi,mk,rt,t,:2553.000000
an,ci,cn,it,mc,mi,mk,n,rt,t,:14727.000000
an,ci,cn,k,mc,mi,mk,n,rt,t,:109.000000
an,ci,it,k,mc,mi,mk,n,rt,t,:328.000000
chn,ci,cn,it,k,mc,mi,mk,n,rt,:14.000000
chn,ci,cn,it,k,mc,mi,mk,n,t,:73.000000
chn,ci,cn,it,k,mc,mi,mk,rt,t,:1360.000000
chn,ci,cn,it,mc,mi,mk,n,rt,t,:9564.000000
chn,ci,cn,k,mc,mi,mk,n,rt,t,:73.000000
chn,ci,it,k,mc,mi,mk,n,rt,t,:182.000000
ci,cn,it,k,mc,mi,mk,n,rt,t,:78.000000
an,chn,ci,cn,it,k,mc,mi,mk,n,rt,:21.000000
an,chn,ci,cn,it,k,mc,mi,mk,n,t,:109.000000
an,chn,ci,cn,it,k,mc,mi,mk,rt,t,:2448.000000
an,chn,ci,cn,it,mc,mi,mk,n,rt,t,:14546.000000
an,chn,ci,cn,k,mc,mi,mk,n,rt,t,:109.000000
an,chn,ci,it,k,mc,mi,mk,n,rt,t,:327.000000
an,ci,cn,it,k,mc,mi,mk,n,rt,t,:109.000000
chn,ci,cn,it,k,mc,mi,mk,n,rt,t,:73.000000
an,chn,ci,cn,it,k,mc,mi,mk,n,rt,t,:109.000000
