cc,cct1,:8781.000000
cc,cct2,:4053.000000
cc,ci,:157497.000000
cc,mi,:26378.000000
cc,mi_idx,:391763.000000
cc,mk,:6094315.000000
cc,t,:73733.000000
ci,mi,:84590.000000
ci,mi_idx,:1608989.000000
ci,mk,:5274470.000000
ci,n,:493693.000000
ci,t,:642106.000000
it1,mi,:642.000000
it2,mi_idx,:12213.000000
k,mk,:236.000000
mi,mi_idx,:210411.000000
mi,mk,:883389.000000
mi,t,:39601.000000
mi_idx,mk,:13119842.000000
mi_idx,t,:753258.000000
mk,t,:2469276.000000
cc,cct1,cct2,:4053.000000
cc,cct1,ci,:157497.000000
cc,cct1,mi,:26378.000000
cc,cct1,mi_idx,:391763.000000
cc,cct1,mk,:6094315.000000
cc,cct1,t,:73733.000000
cc,cct2,ci,:28672.000000
cc,cct2,mi,:4802.000000
cc,cct2,mi_idx,:71319.000000
cc,cct2,mk,:1109452.000000
cc,cct2,t,:13423.000000
cc,ci,mi,:8397.000000
cc,ci,mi_idx,:159725.000000
cc,ci,mk,:523598.000000
cc,ci,n,:49009.000000
cc,ci,t,:63742.000000
cc,it1,mi,:121.000000
cc,mi,mi_idx,:39618.000000
cc,mi,mk,:166333.000000
cc,mi,t,:7457.000000
cc,it2,mi_idx,:2536.000000
cc,mi_idx,mk,:2724665.000000
cc,mi_idx,t,:156433.000000
cc,k,mk,:113.000000
cc,mk,t,:1185187.000000
ci,it1,mi,:356.000000
ci,mi,mi_idx,:116569.000000
ci,mi,mk,:489405.000000
ci,mi,n,:16869.000000
ci,mi,t,:21939.000000
ci,it2,mi_idx,:8857.000000
ci,mi_idx,mk,:9515143.000000
ci,mi_idx,n,:420031.000000
ci,mi_idx,t,:546299.000000
ci,k,mk,:137.000000
ci,mk,n,:1099200.000000
ci,mk,t,:1429637.000000
ci,n,t,:304853.000000
it1,mi,mi_idx,:209555.000000
it1,mi,mk,:879797.000000
it1,mi,t,:39440.000000
it2,mi,mi_idx,:70124.000000
it2,mi_idx,mk,:4372457.000000
it2,mi_idx,t,:251039.000000
k,mi,mk,:14980.000000
k,mi_idx,mk,:222478.000000
k,mk,t,:41872.000000
mi,mi_idx,mk,:1457477.000000
mi,mi_idx,t,:65337.000000
mi,mk,t,:555154.000000
mi_idx,mk,t,:5690026.000000
cc,cct2,ci,k,mi,mi_idx,mk,:46.000000
cc,cct2,ci,mi,mi_idx,mk,n,:371442.000000
cc,cct2,ci,mi,mi_idx,mk,t,:483103.000000
cc,cct2,ci,mi,mi_idx,n,t,:4075.000000
cc,cct2,ci,k,mi,mk,n,:3264.000000
cc,cct2,ci,k,mi,mk,t,:4245.000000
cc,cct2,ci,mi,mk,n,t,:111155.000000
cc,cct2,ci,it2,k,mi_idx,mk,:35.000000
cc,cct2,ci,it2,mi_idx,mk,n,:278772.000000
cc,cct2,ci,it2,mi_idx,mk,t,:362576.000000
cc,cct2,ci,it2,mi_idx,n,t,:4501.000000
cc,cct2,ci,k,mi_idx,mk,n,:14092.000000
cc,cct2,ci,k,mi_idx,mk,t,:18329.000000
cc,cct2,ci,mi_idx,mk,n,t,:721141.000000
cc,cct2,ci,k,mk,n,t,:3913.000000
cc,cct2,it1,it2,mi,mi_idx,mk,:60136.000000
cc,cct2,it1,it2,mi,mi_idx,t,:2696.000000
cc,cct2,it1,k,mi,mi_idx,mk,:53.000000
cc,cct2,it1,mi,mi_idx,mk,t,:551437.000000
cc,cct2,it1,k,mi,mk,t,:4501.000000
cc,cct2,it2,k,mi,mi_idx,mk,:22.000000
cc,cct2,it2,mi,mi_idx,mk,t,:231254.000000
cc,cct2,k,mi,mi_idx,mk,t,:17185.000000
cc,cct2,it2,k,mi_idx,mk,t,:8888.000000
cc,ci,it1,it2,mi,mi_idx,mk,:100986.000000
cc,ci,it1,it2,mi,mi_idx,n,:3481.000000
cc,ci,it1,it2,mi,mi_idx,t,:4527.000000
cc,ci,it1,k,mi,mi_idx,mk,:73.000000
cc,ci,it1,mi,mi_idx,mk,n,:584759.000000
cc,ci,it1,mi,mi_idx,mk,t,:760547.000000
cc,ci,it1,mi,mi_idx,n,t,:7852.000000
cc,ci,it1,k,mi,mk,n,:5666.000000
cc,ci,it1,k,mi,mk,t,:7369.000000
cc,ci,it1,mi,mk,n,t,:165588.000000
cc,ci,it2,k,mi,mi_idx,mk,:27.000000
cc,ci,it2,mi,mi_idx,mk,n,:220295.000000
cc,ci,it2,mi,mi_idx,mk,t,:286519.000000
cc,ci,it2,mi,mi_idx,n,t,:2876.000000
cc,ci,k,mi,mi_idx,mk,n,:19167.000000
cc,ci,k,mi,mi_idx,mk,t,:24929.000000
cc,ci,mi,mi_idx,mk,n,t,:586194.000000
cc,ci,k,mi,mk,n,t,:5451.000000
cc,ci,it2,k,mi_idx,mk,n,:10255.000000
cc,ci,it2,k,mi_idx,mk,t,:13338.000000
cc,ci,it2,mi_idx,mk,n,t,:495174.000000
cc,ci,k,mi_idx,mk,n,t,:24963.000000
cc,it1,it2,k,mi,mi_idx,mk,:32.000000
cc,it1,it2,mi,mi_idx,mk,t,:339872.000000
cc,it1,k,mi,mi_idx,mk,t,:28694.000000
cc,it2,k,mi,mi_idx,mk,t,:10890.000000
ci,it1,it2,k,mi,mi_idx,mk,:33.000000
ci,it1,it2,mi,mi_idx,mk,n,:262760.000000
ci,it1,it2,mi,mi_idx,mk,t,:341750.000000
ci,it1,it2,mi,mi_idx,n,t,:6366.000000
ci,it1,k,mi,mi_idx,mk,n,:26766.000000
ci,it1,k,mi,mi_idx,mk,t,:34812.000000
ci,it1,mi,mi_idx,mk,n,t,:644851.000000
ci,it1,k,mi,mk,n,t,:7439.000000
ci,it2,k,mi,mi_idx,mk,n,:9430.000000
ci,it2,k,mi,mi_idx,mk,t,:12265.000000
ci,it2,mi,mi_idx,mk,n,t,:233929.000000
ci,k,mi,mi_idx,mk,n,t,:22963.000000
ci,it2,k,mi_idx,mk,n,t,:12374.000000
it1,it2,k,mi,mi_idx,mk,t,:17201.000000
cc,cct1,cct2,ci,it1,it2,mi,mi_idx,:91.000000
cc,cct1,cct2,ci,it1,mi,mi_idx,mk,:125009.000000
cc,cct1,cct2,ci,it1,mi,mi_idx,n,:4309.000000
cc,cct1,cct2,ci,it1,mi,mi_idx,t,:5604.000000
cc,cct1,cct2,ci,it1,k,mi,mk,:13.000000
cc,cct1,cct2,ci,it1,mi,mk,n,:100752.000000
cc,cct1,cct2,ci,it1,mi,mk,t,:131040.000000
cc,cct1,cct2,ci,it1,mi,n,t,:1142.000000
cc,cct1,cct2,ci,it2,mi,mi_idx,mk,:47887.000000
cc,cct1,cct2,ci,it2,mi,mi_idx,n,:1651.000000
cc,cct1,cct2,ci,it2,mi,mi_idx,t,:2147.000000
cc,cct1,cct2,ci,k,mi,mi_idx,mk,:46.000000
cc,cct1,cct2,ci,mi,mi_idx,mk,n,:371442.000000
cc,cct1,cct2,ci,mi,mi_idx,mk,t,:483103.000000
cc,cct1,cct2,ci,mi,mi_idx,n,t,:4075.000000
cc,cct1,cct2,ci,k,mi,mk,n,:3264.000000
cc,cct1,cct2,ci,k,mi,mk,t,:4245.000000
cc,cct1,cct2,ci,mi,mk,n,t,:111155.000000
cc,cct1,cct2,ci,it2,k,mi_idx,mk,:35.000000
cc,cct1,cct2,ci,it2,mi_idx,mk,n,:278772.000000
cc,cct1,cct2,ci,it2,mi_idx,mk,t,:362576.000000
cc,cct1,cct2,ci,it2,mi_idx,n,t,:4501.000000
cc,cct1,cct2,ci,k,mi_idx,mk,n,:14092.000000
cc,cct1,cct2,ci,k,mi_idx,mk,t,:18329.000000
cc,cct1,cct2,ci,mi_idx,mk,n,t,:721141.000000
cc,cct1,cct2,ci,k,mk,n,t,:3913.000000
cc,cct1,cct2,it1,it2,mi,mi_idx,mk,:60136.000000
cc,cct1,cct2,it1,it2,mi,mi_idx,t,:2696.000000
cc,cct1,cct2,it1,k,mi,mi_idx,mk,:53.000000
cc,cct1,cct2,it1,mi,mi_idx,mk,t,:551437.000000
cc,cct1,cct2,it1,k,mi,mk,t,:4501.000000
cc,cct1,cct2,it2,k,mi,mi_idx,mk,:22.000000
cc,cct1,cct2,it2,mi,mi_idx,mk,t,:231254.000000
cc,cct1,cct2,k,mi,mi_idx,mk,t,:17185.000000
cc,cct1,cct2,it2,k,mi_idx,mk,t,:8888.000000
cc,cct1,ci,it1,it2,mi,mi_idx,mk,:100986.000000
cc,cct1,ci,it1,it2,mi,mi_idx,n,:3481.000000
cc,cct1,ci,it1,it2,mi,mi_idx,t,:4527.000000
cc,cct1,ci,it1,k,mi,mi_idx,mk,:73.000000
cc,cct1,ci,it1,mi,mi_idx,mk,n,:584759.000000
cc,cct1,ci,it1,mi,mi_idx,mk,t,:760547.000000
cc,cct1,ci,it1,mi,mi_idx,n,t,:7852.000000
cc,cct1,ci,it1,k,mi,mk,n,:5666.000000
cc,cct1,ci,it1,k,mi,mk,t,:7369.000000
cc,cct1,ci,it1,mi,mk,n,t,:165588.000000
cc,cct1,ci,it2,k,mi,mi_idx,mk,:27.000000
cc,cct1,ci,it2,mi,mi_idx,mk,n,:220295.000000
cc,cct1,ci,it2,mi,mi_idx,mk,t,:286519.000000
cc,cct1,ci,it2,mi,mi_idx,n,t,:2876.000000
cc,cct1,ci,k,mi,mi_idx,mk,n,:19167.000000
cc,cct1,ci,k,mi,mi_idx,mk,t,:24929.000000
cc,cct1,ci,mi,mi_idx,mk,n,t,:586194.000000
cc,cct1,ci,k,mi,mk,n,t,:5451.000000
cc,cct1,ci,it2,k,mi_idx,mk,n,:10255.000000
cc,cct1,ci,it2,k,mi_idx,mk,t,:13338.000000
cc,cct1,ci,it2,mi_idx,mk,n,t,:495174.000000
cc,cct1,ci,k,mi_idx,mk,n,t,:24963.000000
cc,cct1,it1,it2,k,mi,mi_idx,mk,:32.000000
cc,cct1,it1,it2,mi,mi_idx,mk,t,:339872.000000
cc,cct1,it1,k,mi,mi_idx,mk,t,:28694.000000
cc,cct1,it2,k,mi,mi_idx,mk,t,:10890.000000
cc,cct2,ci,it1,it2,mi,mi_idx,mk,:41507.000000
cc,cct2,ci,it1,it2,mi,mi_idx,n,:1431.000000
cc,cct2,ci,it1,it2,mi,mi_idx,t,:1861.000000
cc,cct2,ci,it1,k,mi,mi_idx,mk,:38.000000
cc,cct2,ci,it1,mi,mi_idx,mk,n,:305285.000000
cc,cct2,ci,it1,mi,mi_idx,mk,t,:397059.000000
cc,cct2,ci,it1,mi,mi_idx,n,t,:3446.000000
cc,cct2,ci,it1,k,mi,mk,n,:2723.000000
cc,cct2,ci,it1,k,mi,mk,t,:3541.000000
cc,cct2,ci,it1,mi,mk,n,t,:89453.000000
cc,cct2,ci,it2,k,mi,mi_idx,mk,:15.000000
cc,cct2,ci,it2,mi,mi_idx,mk,n,:122032.000000
cc,cct2,ci,it2,mi,mi_idx,mk,t,:158716.000000
cc,cct2,ci,it2,mi,mi_idx,n,t,:1345.000000
cc,cct2,ci,k,mi,mi_idx,mk,n,:9916.000000
cc,cct2,ci,k,mi,mi_idx,mk,t,:12897.000000
cc,cct2,ci,mi,mi_idx,mk,n,t,:340420.000000
cc,cct2,ci,k,mi,mk,n,t,:2940.000000
cc,cct2,ci,it2,k,mi_idx,mk,n,:4617.000000
cc,cct2,ci,it2,k,mi_idx,mk,t,:6005.000000
cc,cct2,ci,it2,mi_idx,mk,n,t,:234572.000000
cc,cct2,ci,k,mi_idx,mk,n,t,:12010.000000
cc,cct2,it1,it2,k,mi,mi_idx,mk,:17.000000
cc,cct2,it1,it2,mi,mi_idx,mk,t,:180793.000000
cc,cct2,it1,k,mi,mi_idx,mk,t,:13681.000000
cc,cct2,it2,k,mi,mi_idx,mk,t,:5621.000000
cc,ci,it1,it2,k,mi,mi_idx,mk,:24.000000
cc,ci,it1,it2,mi,mi_idx,mk,n,:193504.000000
cc,ci,it1,it2,mi,mi_idx,mk,t,:251674.000000
cc,ci,it1,it2,mi,mi_idx,n,t,:2608.000000
cc,ci,it1,k,mi,mi_idx,mk,n,:17006.000000
cc,ci,it1,k,mi,mi_idx,mk,t,:22118.000000
cc,ci,it1,mi,mi_idx,mk,n,t,:501319.000000
cc,ci,it1,k,mi,mk,n,t,:4756.000000
cc,ci,it2,k,mi,mi_idx,mk,n,:6341.000000
cc,ci,it2,k,mi,mi_idx,mk,t,:8247.000000
cc,ci,it2,mi,mi_idx,mk,n,t,:192633.000000
cc,ci,k,mi,mi_idx,mk,n,t,:16486.000000
cc,ci,it2,k,mi_idx,mk,n,t,:8218.000000
cc,it1,it2,k,mi,mi_idx,mk,t,:9489.000000
ci,it1,it2,k,mi,mi_idx,mk,n,:8901.000000
ci,it1,it2,k,mi,mi_idx,mk,t,:11576.000000
ci,it1,it2,mi,mi_idx,mk,n,t,:213646.000000
ci,it1,k,mi,mi_idx,mk,n,t,:21335.000000
ci,it2,k,mi,mi_idx,mk,n,t,:7612.000000
cc,cct1,cct2,ci,it1,it2,mi,mi_idx,mk,:41507.000000
cc,cct1,cct2,ci,it1,it2,mi,mi_idx,n,:1431.000000
cc,cct1,cct2,ci,it1,it2,mi,mi_idx,t,:1861.000000
cc,cct1,cct2,ci,it1,k,mi,mi_idx,mk,:38.000000
cc,cct1,cct2,ci,it1,mi,mi_idx,mk,n,:305285.000000
cc,cct1,cct2,ci,it1,mi,mi_idx,mk,t,:397059.000000
cc,cct1,cct2,ci,it1,mi,mi_idx,n,t,:3446.000000
cc,cct1,cct2,ci,it1,k,mi,mk,n,:2723.000000
cc,cct1,cct2,ci,it1,k,mi,mk,t,:3541.000000
cc,cct1,cct2,ci,it1,mi,mk,n,t,:89453.000000
cc,cct1,cct2,ci,it2,k,mi,mi_idx,mk,:15.000000
cc,cct1,cct2,ci,it2,mi,mi_idx,mk,n,:122032.000000
cc,cct1,cct2,ci,it2,mi,mi_idx,mk,t,:158716.000000
cc,cct1,cct2,ci,it2,mi,mi_idx,n,t,:1345.000000
cc,cct1,cct2,ci,k,mi,mi_idx,mk,n,:9916.000000
cc,cct1,cct2,ci,k,mi,mi_idx,mk,t,:12897.000000
cc,cct1,cct2,ci,mi,mi_idx,mk,n,t,:340420.000000
cc,cct1,cct2,ci,k,mi,mk,n,t,:2940.000000
cc,cct1,cct2,ci,it2,k,mi_idx,mk,n,:4617.000000
cc,cct1,cct2,ci,it2,k,mi_idx,mk,t,:6005.000000
cc,cct1,cct2,ci,it2,mi_idx,mk,n,t,:234572.000000
cc,cct1,cct2,ci,k,mi_idx,mk,n,t,:12010.000000
cc,cct1,cct2,it1,it2,k,mi,mi_idx,mk,:17.000000
cc,cct1,cct2,it1,it2,mi,mi_idx,mk,t,:180793.000000
cc,cct1,cct2,it1,k,mi,mi_idx,mk,t,:13681.000000
cc,cct1,cct2,it2,k,mi,mi_idx,mk,t,:5621.000000
cc,cct1,ci,it1,it2,k,mi,mi_idx,mk,:24.000000
cc,cct1,ci,it1,it2,mi,mi_idx,mk,n,:193504.000000
cc,cct1,ci,it1,it2,mi,mi_idx,mk,t,:251674.000000
cc,cct1,ci,it1,it2,mi,mi_idx,n,t,:2608.000000
cc,cct1,ci,it1,k,mi,mi_idx,mk,n,:17006.000000
cc,cct1,ci,it1,k,mi,mi_idx,mk,t,:22118.000000
cc,cct1,ci,it1,mi,mi_idx,mk,n,t,:501319.000000
cc,cct1,ci,it1,k,mi,mk,n,t,:4756.000000
cc,cct1,ci,it2,k,mi,mi_idx,mk,n,:6341.000000
cc,cct1,ci,it2,k,mi,mi_idx,mk,t,:8247.000000
cc,cct1,ci,it2,mi,mi_idx,mk,n,t,:192633.000000
cc,cct1,ci,k,mi,mi_idx,mk,n,t,:16486.000000
cc,cct1,ci,it2,k,mi_idx,mk,n,t,:8218.000000
cc,cct1,it1,it2,k,mi,mi_idx,mk,t,:9489.000000
cc,cct2,ci,it1,it2,k,mi,mi_idx,mk,:13.000000
cc,cct2,ci,it1,it2,mi,mi_idx,mk,n,:100752.000000
cc,cct2,ci,it1,it2,mi,mi_idx,mk,t,:131040.000000
cc,cct2,ci,it1,it2,mi,mi_idx,n,t,:1141.000000
cc,cct2,ci,it1,k,mi,mi_idx,mk,n,:8235.000000
cc,cct2,ci,it1,k,mi,mi_idx,mk,t,:10711.000000
cc,cct2,ci,it1,mi,mi_idx,mk,n,t,:272300.000000
cc,cct2,ci,it1,k,mi,mk,n,t,:2398.000000
cc,cct2,ci,it2,k,mi,mi_idx,mk,n,:3264.000000
cc,cct2,ci,it2,k,mi,mi_idx,mk,t,:4245.000000
cc,cct2,ci,it2,mi,mi_idx,mk,n,t,:111155.000000
cc,cct2,ci,k,mi,mi_idx,mk,n,t,:8983.000000
cc,cct2,ci,it2,k,mi_idx,mk,n,t,:3911.000000
cc,cct2,it1,it2,k,mi,mi_idx,mk,t,:4501.000000
cc,ci,it1,it2,k,mi,mi_idx,mk,n,:5639.000000
cc,ci,it1,it2,k,mi,mi_idx,mk,t,:7335.000000
cc,ci,it1,it2,mi,mi_idx,mk,n,t,:165346.000000
cc,ci,it1,k,mi,mi_idx,mk,n,t,:14325.000000
cc,ci,it2,k,mi,mi_idx,mk,n,t,:5434.000000
ci,it1,it2,k,mi,mi_idx,mk,n,t,:7087.000000
cc,cct1,cct2,ci,it1,it2,k,mi,mi_idx,mk,:13.000000
cc,cct1,cct2,ci,it1,it2,mi,mi_idx,mk,n,:100752.000000
cc,cct1,cct2,ci,it1,it2,mi,mi_idx,mk,t,:131040.000000
cc,cct1,cct2,ci,it1,it2,mi,mi_idx,n,t,:1141.000000
cc,cct1,cct2,ci,it1,k,mi,mi_idx,mk,n,:8235.000000
cc,cct1,cct2,ci,it1,k,mi,mi_idx,mk,t,:10711.000000
cc,cct1,cct2,ci,it1,mi,mi_idx,mk,n,t,:272300.000000
cc,cct1,cct2,ci,it1,k,mi,mk,n,t,:2398.000000
cc,cct1,cct2,ci,it2,k,mi,mi_idx,mk,n,:3264.000000
cc,cct1,cct2,ci,it2,k,mi,mi_idx,mk,t,:4245.000000
cc,cct1,cct2,ci,it2,mi,mi_idx,mk,n,t,:111155.000000
cc,cct1,cct2,ci,k,mi,mi_idx,mk,n,t,:8983.000000
cc,cct1,cct2,ci,it2,k,mi_idx,mk,n,t,:3911.000000
cc,cct1,cct2,it1,it2,k,mi,mi_idx,mk,t,:4501.000000
cc,cct1,ci,it1,it2,k,mi,mi_idx,mk,n,:5639.000000
cc,cct1,ci,it1,it2,k,mi,mi_idx,mk,t,:7335.000000
cc,cct1,ci,it1,it2,mi,mi_idx,mk,n,t,:165346.000000
cc,cct1,ci,it1,k,mi,mi_idx,mk,n,t,:14325.000000
cc,cct1,ci,it2,k,mi,mi_idx,mk,n,t,:5434.000000
cc,cct2,ci,it1,it2,k,mi,mi_idx,mk,n,:2723.000000
cc,cct2,ci,it1,it2,k,mi,mi_idx,mk,t,:3541.000000
cc,cct2,ci,it1,it2,mi,mi_idx,mk,n,t,:89453.000000
cc,cct2,ci,it1,k,mi,mi_idx,mk,n,t,:7282.000000
cc,cct2,ci,it2,k,mi,mi_idx,mk,n,t,:2940.000000
cc,ci,it1,it2,k,mi,mi_idx,mk,n,t,:4739.000000
cc,cct1,cct2,ci,it1,it2,k,mi,mi_idx,mk,n,:2723.000000
cc,cct1,cct2,ci,it1,it2,k,mi,mi_idx,mk,t,:3541.000000
cc,cct1,cct2,ci,it1,it2,mi,mi_idx,mk,n,t,:89453.000000
cc,cct1,cct2,ci,it1,k,mi,mi_idx,mk,n,t,:7282.000000
cc,cct1,cct2,ci,it2,k,mi,mi_idx,mk,n,t,:2940.000000
cc,cct1,ci,it1,it2,k,mi,mi_idx,mk,n,t,:4739.000000
cc,cct2,ci,it1,it2,k,mi,mi_idx,mk,n,t,:2398.000000
cc,cct1,cct2,ci,it1,it2,k,mi,mi_idx,mk,n,t,:2398.000000
