cn1,mc1,:944850.000000
cn2,mc2,:2609129.000000
it1,mi_idx1,:12213.000000
it2,mi_idx2,:5992.000000
kt1,t1,:75845.000000
kt2,t2,:13432.000000
lt,ml,:2850.000000
mc1,mi_idx1,:6941650.000000
mc1,ml,:150887.000000
mc1,t1,:2609129.000000
mc2,mi_idx2,:3405809.000000
mc2,ml,:150887.000000
mc2,t2,:462080.000000
mi_idx1,ml,:86994.000000
mi_idx1,t1,:1380035.000000
mi_idx2,ml,:42682.000000
mi_idx2,t2,:119914.000000
ml,t1,:29997.000000
ml,t2,:5313.000000
cn1,mc1,mi_idx1,:3069707.000000
cn1,mc1,ml,:66724.000000
cn1,mc1,t1,:1153798.000000
cn2,mc2,mi_idx2,:3405809.000000
cn2,mc2,ml,:150887.000000
cn2,mc2,t2,:462080.000000
it1,mc1,mi_idx1,:2313447.000000
it1,mi_idx1,ml,:28993.000000
it1,mi_idx1,t1,:459925.000000
it2,mc2,mi_idx2,:128724.000000
it2,mi_idx2,ml,:1613.000000
it2,mi_idx2,t2,:4532.000000
kt1,mc1,t1,:93761.000000
kt1,mi_idx1,t1,:49593.000000
kt1,ml,t1,:1078.000000
kt2,mc2,t2,:16313.000000
kt2,mi_idx2,t2,:4233.000000
kt2,ml,t2,:188.000000
lt,mc1,ml,:11645.000000
lt,mc2,ml,:11645.000000
lt,mi_idx1,ml,:6714.000000
lt,mi_idx2,ml,:3294.000000
lt,ml,t1,:2315.000000
lt,ml,t2,:410.000000
mc1,mi_idx1,ml,:256758.000000
mc1,mi_idx1,t1,:4073078.000000
mc1,mc2,ml,:745026.000000
mc1,mi_idx2,ml,:210751.000000
mc1,ml,t1,:148115.000000
mc1,ml,t2,:26231.000000
mc2,mi_idx2,ml,:124491.000000
mc2,mi_idx2,t2,:349751.000000
mc2,mi_idx1,ml,:1010432.000000
mc2,ml,t1,:348413.000000
mc2,ml,t2,:61704.000000
mi_idx1,mi_idx2,ml,:89172.000000
mi_idx1,ml,t1,:62670.000000
mi_idx1,ml,t2,:11099.000000
mi_idx2,ml,t1,:37967.000000
mi_idx2,ml,t2,:6724.000000
ml,t1,t2,:5313.000000
kt2,mc1,mi_idx2,ml,t1,t2,:4177.000000
kt2,mi_idx1,mi_idx2,ml,t1,t2,:3000.000000
kt2,lt,mc1,mi_idx1,ml,t2,:925.000000
kt2,lt,mc1,ml,t1,t2,:319.000000
kt2,lt,mi_idx1,ml,t1,t2,:213.000000
kt2,mc1,mi_idx1,ml,t1,t2,:8664.000000
lt,mc1,mc2,mi_idx1,mi_idx2,ml,:213454.000000
lt,mc1,mc2,mi_idx1,ml,t1,:150015.000000
lt,mc1,mc2,mi_idx1,ml,t2,:26568.000000
lt,mc1,mc2,mi_idx2,ml,t1,:70336.000000
lt,mc1,mc2,mi_idx2,ml,t2,:12457.000000
lt,mc1,mc2,ml,t1,t2,:9066.000000
lt,mc1,mi_idx1,mi_idx2,ml,t1,:38433.000000
lt,mc1,mi_idx1,mi_idx2,ml,t2,:6807.000000
lt,mc1,mi_idx1,ml,t1,t2,:5140.000000
lt,mc1,mi_idx2,ml,t1,t2,:2314.000000
lt,mc2,mi_idx1,mi_idx2,ml,t1,:35499.000000
lt,mc2,mi_idx1,mi_idx2,ml,t2,:6287.000000
lt,mc2,mi_idx1,ml,t1,t2,:4582.000000
lt,mc2,mi_idx2,ml,t1,t2,:2185.000000
lt,mi_idx1,mi_idx2,ml,t1,t2,:1458.000000
mc1,mc2,mi_idx1,mi_idx2,ml,t1,:3875118.000000
mc1,mc2,mi_idx1,mi_idx2,ml,t2,:686288.000000
mc1,mc2,mi_idx1,ml,t1,t2,:460613.000000
mc1,mi_idx1,mi_idx2,ml,t1,t2,:83074.000000
mc1,mc2,mi_idx2,ml,t1,t2,:244082.000000
mc2,mi_idx1,mi_idx2,ml,t1,t2,:171739.000000
cn1,it1,it2,mc1,mi_idx1,mi_idx2,ml,:460.000000
cn1,it1,lt,mc1,mc2,mi_idx1,ml,:10478.000000
cn1,it1,lt,mc1,mi_idx1,mi_idx2,ml,:2964.000000
cn1,it1,lt,mc1,mi_idx1,ml,t1,:2083.000000
cn1,it1,lt,mc1,mi_idx1,ml,t2,:369.000000
cn1,cn2,it1,mc1,mc2,mi_idx1,ml,:441659.000000
cn1,it1,mc1,mc2,mi_idx1,mi_idx2,ml,:628431.000000
cn1,it1,mc1,mc2,mi_idx1,ml,t1,:441659.000000
cn1,it1,mc1,mc2,mi_idx1,ml,t2,:78218.000000
cn1,it1,mc1,mi_idx1,mi_idx2,ml,t1,:68602.000000
cn1,it1,mc1,mi_idx1,mi_idx2,ml,t2,:12150.000000
cn1,it1,kt1,mc1,mi_idx1,ml,t1,:1725.000000
cn1,it1,mc1,mi_idx1,ml,t1,t2,:10186.000000
cn1,it1,kt2,mc1,mi_idx1,ml,t2,:286.000000
cn1,cn2,lt,mc1,mc2,mi_idx1,ml,:36042.000000
cn1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,:51284.000000
cn1,lt,mc1,mc2,mi_idx1,ml,t1,:36042.000000
cn1,lt,mc1,mc2,mi_idx1,ml,t2,:6383.000000
cn1,it2,lt,mc1,mi_idx1,mi_idx2,ml,:78.000000
cn1,lt,mc1,mi_idx1,mi_idx2,ml,t1,:8790.000000
cn1,lt,mc1,mi_idx1,mi_idx2,ml,t2,:1557.000000
cn1,kt1,lt,mc1,mi_idx1,ml,t1,:187.000000
cn1,lt,mc1,mi_idx1,ml,t1,t2,:1107.000000
cn1,kt2,lt,mc1,mi_idx1,ml,t2,:13.000000
cn1,cn2,mc1,mc2,mi_idx1,mi_idx2,ml,:1885292.000000
cn1,cn2,mc1,mc2,mi_idx1,ml,t1,:1324977.000000
cn1,cn2,mc1,mc2,mi_idx1,ml,t2,:234655.000000
cn1,it2,mc1,mc2,mi_idx1,mi_idx2,ml,:18057.000000
cn1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:2040492.000000
cn1,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:361374.000000
cn1,kt1,mc1,mc2,mi_idx1,ml,t1,:39749.000000
cn1,mc1,mc2,mi_idx1,ml,t1,t2,:234655.000000
cn1,kt2,mc1,mc2,mi_idx1,ml,t2,:5300.000000
cn1,it2,mc1,mi_idx1,mi_idx2,ml,t1,:3054.000000
cn1,it2,mc1,mi_idx1,mi_idx2,ml,t2,:541.000000
cn1,kt1,mc1,mi_idx1,mi_idx2,ml,t1,:6174.000000
cn1,mc1,mi_idx1,mi_idx2,ml,t1,t2,:36449.000000
cn1,kt2,mc1,mi_idx1,mi_idx2,ml,t2,:977.000000
cn1,kt1,mc1,mi_idx1,ml,t1,t2,:22881.000000
cn1,kt2,mc1,mi_idx1,ml,t1,t2,:859.000000
cn1,cn2,lt,mc1,mc2,mi_idx2,ml,:17906.000000
cn1,cn2,lt,mc1,mc2,ml,t1,:12584.000000
cn1,cn2,lt,mc1,mc2,ml,t2,:2229.000000
cn1,it2,lt,mc1,mc2,mi_idx2,ml,:163.000000
cn1,lt,mc1,mc2,mi_idx2,ml,t1,:18437.000000
cn1,lt,mc1,mc2,mi_idx2,ml,t2,:3265.000000
cn1,kt1,lt,mc1,mc2,ml,t1,:378.000000
cn1,lt,mc1,mc2,ml,t1,t2,:2229.000000
cn1,kt2,lt,mc1,mc2,ml,t2,:29.000000
cn1,it2,lt,mc1,mi_idx2,ml,t1,:15.000000
cn1,it2,lt,mc1,mi_idx2,ml,t2,:3.000000
cn1,kt1,lt,mc1,mi_idx2,ml,t1,:90.000000
cn1,lt,mc1,mi_idx2,ml,t1,t2,:532.000000
cn1,kt2,lt,mc1,mi_idx2,ml,t2,:7.000000
cn1,kt1,lt,mc1,ml,t1,t2,:352.000000
cn1,kt2,lt,mc1,ml,t1,t2,:5.000000
cn1,cn2,it2,mc1,mc2,mi_idx2,ml,:6491.000000
cn1,cn2,mc1,mc2,mi_idx2,ml,t1,:733436.000000
cn1,cn2,mc1,mc2,mi_idx2,ml,t2,:129892.000000
cn1,cn2,kt1,mc1,mc2,ml,t1,:14254.000000
cn1,cn2,mc1,mc2,ml,t1,t2,:84147.000000
cn1,cn2,kt2,mc1,mc2,ml,t2,:1871.000000
cn1,it2,mc1,mc2,mi_idx2,ml,t1,:5096.000000
cn1,it2,mc1,mc2,mi_idx2,ml,t2,:903.000000
cn1,kt1,mc1,mc2,mi_idx2,ml,t1,:22003.000000
cn1,mc1,mc2,mi_idx2,ml,t1,t2,:129892.000000
cn1,kt2,mc1,mc2,mi_idx2,ml,t2,:2628.000000
cn1,kt1,mc1,mc2,ml,t1,t2,:34972.000000
cn1,kt2,mc1,mc2,ml,t1,t2,:1871.000000
cn1,it2,kt1,mc1,mi_idx2,ml,t1,:32.000000
cn1,it2,mc1,mi_idx2,ml,t1,t2,:186.000000
cn1,it2,kt2,mc1,mi_idx2,ml,t2,:9.000000
cn1,kt1,mc1,mi_idx2,ml,t1,t2,:8398.000000
cn1,kt2,mc1,mi_idx2,ml,t1,t2,:338.000000
cn1,kt1,kt2,mc1,ml,t1,t2,:230.000000
cn2,it1,it2,mc2,mi_idx1,mi_idx2,ml,:79.000000
cn2,it2,lt,mc1,mc2,mi_idx2,ml,:342.000000
cn2,it2,lt,mc2,mi_idx1,mi_idx2,ml,:197.000000
cn2,it2,lt,mc2,mi_idx2,ml,t1,:68.000000
cn2,it2,lt,mc2,mi_idx2,ml,t2,:12.000000
cn2,it2,mc1,mc2,mi_idx1,mi_idx2,ml,:44488.000000
cn2,it2,mc1,mc2,mi_idx2,ml,t1,:15340.000000
cn2,it2,mc1,mc2,mi_idx2,ml,t2,:2717.000000
cn2,it2,mc2,mi_idx1,mi_idx2,ml,t1,:7473.000000
cn2,it2,mc2,mi_idx1,mi_idx2,ml,t2,:1323.000000
cn2,it2,kt1,mc2,mi_idx2,ml,t1,:136.000000
cn2,it2,mc2,mi_idx2,ml,t1,t2,:804.000000
cn2,it2,kt2,mc2,mi_idx2,ml,t2,:48.000000
cn2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,:203981.000000
cn2,lt,mc1,mc2,mi_idx2,ml,t1,:70336.000000
cn2,lt,mc1,mc2,mi_idx2,ml,t2,:12457.000000
cn2,it1,lt,mc2,mi_idx1,mi_idx2,ml,:314.000000
cn2,lt,mc2,mi_idx1,mi_idx2,ml,t1,:35499.000000
cn2,lt,mc2,mi_idx1,mi_idx2,ml,t2,:6287.000000
cn2,kt1,lt,mc2,mi_idx2,ml,t1,:370.000000
cn2,lt,mc2,mi_idx2,ml,t1,t2,:2185.000000
cn2,kt2,lt,mc2,mi_idx2,ml,t2,:34.000000
cn2,it1,mc1,mc2,mi_idx1,mi_idx2,ml,:34293.000000
cn2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:3875118.000000
cn2,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:686288.000000
cn2,kt1,mc1,mc2,mi_idx2,ml,t1,:41346.000000
cn2,mc1,mc2,mi_idx2,ml,t1,t2,:244082.000000
cn2,kt2,mc1,mc2,mi_idx2,ml,t2,:6544.000000
cn2,it1,mc2,mi_idx1,mi_idx2,ml,t1,:323240.000000
cn2,it1,mc2,mi_idx1,mi_idx2,ml,t2,:57246.000000
cn2,kt1,mc2,mi_idx1,mi_idx2,ml,t1,:29092.000000
cn2,mc2,mi_idx1,mi_idx2,ml,t1,t2,:171739.000000
cn2,kt2,mc2,mi_idx1,mi_idx2,ml,t2,:2674.000000
cn2,kt1,mc2,mi_idx2,ml,t1,t2,:12047.000000
cn2,kt2,mc2,mi_idx2,ml,t1,t2,:1751.000000
cn2,it1,lt,mc1,mc2,mi_idx1,ml,:1328.000000
cn2,lt,mc1,mc2,mi_idx1,ml,t1,:150015.000000
cn2,lt,mc1,mc2,mi_idx1,ml,t2,:26568.000000
cn2,kt1,lt,mc1,mc2,ml,t1,:1536.000000
cn2,lt,mc1,mc2,ml,t1,t2,:9066.000000
cn2,kt2,lt,mc1,mc2,ml,t2,:174.000000
cn2,it1,lt,mc2,mi_idx1,ml,t1,:8624.000000
cn2,it1,lt,mc2,mi_idx1,ml,t2,:1527.000000
cn2,kt1,lt,mc2,mi_idx1,ml,t1,:776.000000
cn2,lt,mc2,mi_idx1,ml,t1,t2,:4582.000000
cn2,kt2,lt,mc2,mi_idx1,ml,t2,:71.000000
cn2,kt1,lt,mc2,ml,t1,t2,:866.000000
cn2,kt2,lt,mc2,ml,t1,t2,:26.000000
cn2,it1,mc1,mc2,mi_idx1,ml,t1,:866948.000000
cn2,it1,mc1,mc2,mi_idx1,ml,t2,:153538.000000
cn2,kt1,mc1,mc2,mi_idx1,ml,t1,:78025.000000
cn2,mc1,mc2,mi_idx1,ml,t1,t2,:460613.000000
cn2,kt2,mc1,mc2,mi_idx1,ml,t2,:13461.000000
cn2,kt1,mc1,mc2,ml,t1,t2,:84631.000000
cn2,kt2,mc1,mc2,ml,t1,t2,:4733.000000
cn2,it1,kt1,mc2,mi_idx1,ml,t1,:6160.000000
cn2,it1,mc2,mi_idx1,ml,t1,t2,:36362.000000
cn2,it1,kt2,mc2,mi_idx1,ml,t2,:617.000000
cn2,kt1,mc2,mi_idx1,ml,t1,t2,:24827.000000
cn2,kt2,mc2,mi_idx1,ml,t1,t2,:1850.000000
cn2,kt1,kt2,mc2,ml,t1,t2,:264.000000
it1,it2,mc1,mc2,mi_idx1,mi_idx2,ml,:245.000000
it1,it2,lt,mc1,mi_idx1,mi_idx2,ml,:391.000000
it1,it2,mc1,mi_idx1,mi_idx2,ml,t1,:4115.000000
it1,it2,mc1,mi_idx1,mi_idx2,ml,t2,:729.000000
it1,it2,lt,mc2,mi_idx1,mi_idx2,ml,:237.000000
it1,it2,mc2,mi_idx1,mi_idx2,ml,t1,:2491.000000
it1,it2,mc2,mi_idx1,mi_idx2,ml,t2,:441.000000
it1,it2,lt,mi_idx1,mi_idx2,ml,t1,:30.000000
it1,it2,lt,mi_idx1,mi_idx2,ml,t2,:5.000000
it1,it2,kt1,mi_idx1,mi_idx2,ml,t1,:25.000000
it1,it2,mi_idx1,mi_idx2,ml,t1,t2,:145.000000
it1,it2,kt2,mi_idx1,mi_idx2,ml,t2,:8.000000
it1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,:71151.000000
it1,lt,mc1,mc2,mi_idx1,ml,t1,:50005.000000
it1,lt,mc1,mc2,mi_idx1,ml,t2,:8856.000000
it1,lt,mc1,mi_idx1,mi_idx2,ml,t1,:12811.000000
it1,lt,mc1,mi_idx1,mi_idx2,ml,t2,:2269.000000
it1,kt1,lt,mc1,mi_idx1,ml,t1,:290.000000
it1,lt,mc1,mi_idx1,ml,t1,t2,:1713.000000
it1,kt2,lt,mc1,mi_idx1,ml,t2,:36.000000
it1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:1291706.000000
it1,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:228763.000000
it1,kt1,mc1,mc2,mi_idx1,ml,t1,:26008.000000
it1,mc1,mc2,mi_idx1,ml,t1,t2,:153538.000000
it1,kt2,mc1,mc2,mi_idx1,ml,t2,:4487.000000
it1,kt1,mc1,mi_idx1,mi_idx2,ml,t1,:4691.000000
it1,mc1,mi_idx1,mi_idx2,ml,t1,t2,:27691.000000
it1,kt2,mc1,mi_idx1,mi_idx2,ml,t2,:1023.000000
it1,kt1,mc1,mi_idx1,ml,t1,t2,:20682.000000
it1,kt2,mc1,mi_idx1,ml,t1,t2,:925.000000
it1,lt,mc2,mi_idx1,mi_idx2,ml,t1,:11833.000000
it1,lt,mc2,mi_idx1,mi_idx2,ml,t2,:2096.000000
it1,kt1,lt,mc2,mi_idx1,ml,t1,:259.000000
it1,lt,mc2,mi_idx1,ml,t1,t2,:1527.000000
it1,kt2,lt,mc2,mi_idx1,ml,t2,:24.000000
it1,kt1,lt,mi_idx1,mi_idx2,ml,t1,:82.000000
it1,lt,mi_idx1,mi_idx2,ml,t1,t2,:486.000000
it1,kt2,lt,mi_idx1,mi_idx2,ml,t2,:8.000000
it1,kt1,lt,mi_idx1,ml,t1,t2,:216.000000
it1,kt2,lt,mi_idx1,ml,t1,t2,:6.000000
it1,kt1,mc2,mi_idx1,mi_idx2,ml,t1,:9697.000000
it1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:57246.000000
it1,kt2,mc2,mi_idx1,mi_idx2,ml,t2,:891.000000
it1,kt1,mc2,mi_idx1,ml,t1,t2,:8276.000000
it1,kt2,mc2,mi_idx1,ml,t1,t2,:617.000000
it1,kt1,mi_idx1,mi_idx2,ml,t1,t2,:2131.000000
it1,kt2,mi_idx1,mi_idx2,ml,t1,t2,:107.000000
it1,kt1,kt2,mi_idx1,ml,t1,t2,:61.000000
it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,:574.000000
it2,lt,mc1,mc2,mi_idx2,ml,t1,:198.000000
it2,lt,mc1,mc2,mi_idx2,ml,t2,:35.000000
it2,lt,mc2,mi_idx1,mi_idx2,ml,t1,:174.000000
it2,lt,mc2,mi_idx1,mi_idx2,ml,t2,:31.000000
it2,kt1,lt,mc2,mi_idx2,ml,t1,:2.000000
it2,lt,mc2,mi_idx2,ml,t1,t2,:12.000000
it2,kt2,lt,mc2,mi_idx2,ml,t2,:1.000000
it2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:43560.000000
it2,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:7715.000000
it2,kt1,mc1,mc2,mi_idx2,ml,t1,:460.000000
it2,mc1,mc2,mi_idx2,ml,t1,t2,:2717.000000
it2,kt2,mc1,mc2,mi_idx2,ml,t2,:183.000000
it2,kt1,mc2,mi_idx1,mi_idx2,ml,t1,:224.000000
it2,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1323.000000
it2,kt2,mc2,mi_idx1,mi_idx2,ml,t2,:75.000000
it2,kt1,mc2,mi_idx2,ml,t1,t2,:357.000000
it2,kt2,mc2,mi_idx2,ml,t1,t2,:48.000000
it2,lt,mc1,mi_idx1,mi_idx2,ml,t1,:258.000000
it2,lt,mc1,mi_idx1,mi_idx2,ml,t2,:46.000000
it2,kt1,lt,mc1,mi_idx2,ml,t1,:3.000000
it2,lt,mc1,mi_idx2,ml,t1,t2,:16.000000
it2,kt2,lt,mc1,mi_idx2,ml,t2,:1.000000
it2,kt1,lt,mi_idx1,mi_idx2,ml,t1,:3.000000
it2,lt,mi_idx1,mi_idx2,ml,t1,t2,:16.000000
it2,kt2,lt,mi_idx1,mi_idx2,ml,t2,:1.000000
it2,kt1,lt,mi_idx2,ml,t1,t2,:5.000000
it2,kt2,lt,mi_idx2,ml,t1,t2,:1.000000
it2,kt1,mc1,mi_idx1,mi_idx2,ml,t1,:370.000000
it2,mc1,mi_idx1,mi_idx2,ml,t1,t2,:2186.000000
it2,kt2,mc1,mi_idx1,mi_idx2,ml,t2,:122.000000
it2,kt1,mc1,mi_idx2,ml,t1,t2,:714.000000
it2,kt2,mc1,mi_idx2,ml,t1,t2,:43.000000
it2,kt1,mi_idx1,mi_idx2,ml,t1,t2,:386.000000
it2,kt2,mi_idx1,mi_idx2,ml,t1,t2,:24.000000
it2,kt1,kt2,mi_idx2,ml,t1,t2,:4.000000
kt1,kt2,mc1,mi_idx1,ml,t1,t2,:3.000000
kt1,kt2,lt,mc1,ml,t1,t2,:1.000000
kt1,kt2,mc1,mc2,ml,t1,t2,:25.000000
kt1,kt2,mc1,mi_idx2,ml,t1,t2,:7.000000
kt1,kt2,lt,mi_idx1,ml,t1,t2,:1.000000
kt1,kt2,mc2,mi_idx1,ml,t1,t2,:13.000000
kt1,kt2,mi_idx1,mi_idx2,ml,t1,t2,:4.000000
kt1,kt2,lt,mc2,ml,t1,t2,:2.000000
kt1,kt2,lt,mi_idx2,ml,t1,t2,:1.000000
kt1,kt2,mc2,mi_idx2,ml,t1,t2,:34.000000
kt1,lt,mc1,mc2,mi_idx1,ml,t1,:84354.000000
kt1,lt,mc1,mi_idx1,mi_idx2,ml,t1,:23862.000000
kt1,lt,mc1,mi_idx1,ml,t1,t2,:2970.000000
kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:2021275.000000
kt1,mc1,mc2,mi_idx1,ml,t1,t2,:251580.000000
kt1,mc1,mi_idx1,mi_idx2,ml,t1,t2,:63690.000000
kt1,lt,mc1,mc2,mi_idx2,ml,t1,:39718.000000
kt1,lt,mc1,mc2,ml,t1,t2,:4944.000000
kt1,lt,mc1,mi_idx2,ml,t1,t2,:1388.000000
kt1,mc1,mc2,mi_idx2,ml,t1,t2,:116827.000000
kt1,lt,mc2,mi_idx1,mi_idx2,ml,t1,:18573.000000
kt1,lt,mc2,mi_idx1,ml,t1,t2,:2312.000000
kt1,lt,mi_idx1,mi_idx2,ml,t1,t2,:851.000000
kt1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:34254.000000
kt1,lt,mc2,mi_idx2,ml,t1,t2,:1173.000000
kt2,lt,mc1,mc2,mi_idx2,ml,t2,:2354.000000
kt2,lt,mc2,mi_idx1,mi_idx2,ml,t2,:1357.000000
kt2,lt,mc2,mi_idx2,ml,t1,t2,:468.000000
kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:75394.000000
kt2,mc1,mc2,mi_idx2,ml,t1,t2,:25997.000000
kt2,mc2,mi_idx1,mi_idx2,ml,t1,t2,:19182.000000
kt2,lt,mc1,mc2,mi_idx1,ml,t2,:5562.000000
kt2,lt,mc1,mc2,ml,t1,t2,:1918.000000
kt2,lt,mc2,mi_idx1,ml,t1,t2,:891.000000
kt2,mc1,mc2,mi_idx1,ml,t1,t2,:51054.000000
kt2,lt,mc1,mi_idx1,mi_idx2,ml,t2,:1177.000000
kt2,lt,mc1,mi_idx2,ml,t1,t2,:406.000000
kt2,lt,mi_idx1,mi_idx2,ml,t1,t2,:279.000000
kt2,mc1,mi_idx1,mi_idx2,ml,t1,t2,:10965.000000
kt2,lt,mc1,mi_idx1,ml,t1,t2,:795.000000
lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:207948.000000
lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:36828.000000
lt,mc1,mc2,mi_idx1,ml,t1,t2,:26568.000000
lt,mc1,mc2,mi_idx2,ml,t1,t2,:12457.000000
lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:6807.000000
lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:6287.000000
mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:686288.000000
cn1,it1,it2,mc1,mc2,mi_idx1,mi_idx2,ml,:2316.000000
cn1,it1,it2,lt,mc1,mi_idx1,mi_idx2,ml,:97.000000
cn1,it1,it2,mc1,mi_idx1,mi_idx2,ml,t1,:1018.000000
cn1,it1,it2,mc1,mi_idx1,mi_idx2,ml,t2,:180.000000
cn1,cn2,it1,lt,mc1,mc2,mi_idx1,ml,:12014.000000
cn1,it1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,:17095.000000
cn1,it1,lt,mc1,mc2,mi_idx1,ml,t1,:12014.000000
cn1,it1,lt,mc1,mc2,mi_idx1,ml,t2,:2128.000000
cn1,it1,lt,mc1,mi_idx1,mi_idx2,ml,t1,:2930.000000
cn1,it1,lt,mc1,mi_idx1,mi_idx2,ml,t2,:519.000000
cn1,it1,kt1,lt,mc1,mi_idx1,ml,t1,:62.000000
cn1,it1,lt,mc1,mi_idx1,ml,t1,t2,:369.000000
cn1,it1,kt2,lt,mc1,mi_idx1,ml,t2,:4.000000
cn1,cn2,it1,mc1,mc2,mi_idx1,mi_idx2,ml,:628431.000000
cn1,cn2,it1,mc1,mc2,mi_idx1,ml,t1,:441659.000000
cn1,cn2,it1,mc1,mc2,mi_idx1,ml,t2,:78218.000000
cn1,it1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:680164.000000
cn1,it1,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:120458.000000
cn1,it1,kt1,mc1,mc2,mi_idx1,ml,t1,:13250.000000
cn1,it1,mc1,mc2,mi_idx1,ml,t1,t2,:78218.000000
cn1,it1,kt2,mc1,mc2,mi_idx1,ml,t2,:1767.000000
cn1,it1,kt1,mc1,mi_idx1,mi_idx2,ml,t1,:2058.000000
cn1,it1,mc1,mi_idx1,mi_idx2,ml,t1,t2,:12150.000000
cn1,it1,kt2,mc1,mi_idx1,mi_idx2,ml,t2,:326.000000
cn1,it1,kt1,mc1,mi_idx1,ml,t1,t2,:7627.000000
cn1,it1,kt2,mc1,mi_idx1,ml,t1,t2,:286.000000
cn1,cn2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,:51284.000000
cn1,cn2,lt,mc1,mc2,mi_idx1,ml,t1,:36042.000000
cn1,cn2,lt,mc1,mc2,mi_idx1,ml,t2,:6383.000000
cn1,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,:478.000000
cn1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:53976.000000
cn1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:9559.000000
cn1,kt1,lt,mc1,mc2,mi_idx1,ml,t1,:1081.000000
cn1,lt,mc1,mc2,mi_idx1,ml,t1,t2,:6383.000000
cn1,kt2,lt,mc1,mc2,mi_idx1,ml,t2,:85.000000
cn1,it2,lt,mc1,mi_idx1,mi_idx2,ml,t1,:45.000000
cn1,it2,lt,mc1,mi_idx1,mi_idx2,ml,t2,:8.000000
cn1,kt1,lt,mc1,mi_idx1,mi_idx2,ml,t1,:264.000000
cn1,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:1557.000000
cn1,kt2,lt,mc1,mi_idx1,mi_idx2,ml,t2,:20.000000
cn1,kt1,lt,mc1,mi_idx1,ml,t1,t2,:982.000000
cn1,kt2,lt,mc1,mi_idx1,ml,t1,t2,:13.000000
cn1,cn2,it2,mc1,mc2,mi_idx1,mi_idx2,ml,:18057.000000
cn1,cn2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:2040492.000000
cn1,cn2,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:361374.000000
cn1,cn2,kt1,mc1,mc2,mi_idx1,ml,t1,:39749.000000
cn1,cn2,mc1,mc2,mi_idx1,ml,t1,t2,:234655.000000
cn1,cn2,kt2,mc1,mc2,mi_idx1,ml,t2,:5300.000000
cn1,it2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:13902.000000
cn1,it2,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:2462.000000
cn1,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:61215.000000
cn1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:361374.000000
cn1,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:7407.000000
cn1,kt1,mc1,mc2,mi_idx1,ml,t1,t2,:104288.000000
cn1,kt2,mc1,mc2,mi_idx1,ml,t1,t2,:5300.000000
cn1,it2,kt1,mc1,mi_idx1,mi_idx2,ml,t1,:92.000000
cn1,it2,mc1,mi_idx1,mi_idx2,ml,t1,t2,:541.000000
cn1,it2,kt2,mc1,mi_idx1,mi_idx2,ml,t2,:27.000000
cn1,kt1,mc1,mi_idx1,mi_idx2,ml,t1,t2,:25107.000000
cn1,kt2,mc1,mi_idx1,mi_idx2,ml,t1,t2,:977.000000
cn1,kt1,kt2,mc1,mi_idx1,ml,t1,t2,:686.000000
cn1,cn2,it2,lt,mc1,mc2,mi_idx2,ml,:163.000000
cn1,cn2,lt,mc1,mc2,mi_idx2,ml,t1,:18437.000000
cn1,cn2,lt,mc1,mc2,mi_idx2,ml,t2,:3265.000000
cn1,cn2,kt1,lt,mc1,mc2,ml,t1,:378.000000
cn1,cn2,lt,mc1,mc2,ml,t1,t2,:2229.000000
cn1,cn2,kt2,lt,mc1,mc2,ml,t2,:29.000000
