cc,cct1,:8781.000000
cc,cct2,:4053.000000
cc,mc,:328488.000000
cc,mi,:35643.000000
cc,mk,:6094315.000000
cc,ml,:47888.000000
cc,t,:48777.000000
cn,mc,:279135.000000
ct,mc,:37840.000000
k,mk,:34.000000
lt,ml,:150.000000
mc,mi,:238389.000000
mc,mk,:11000821.000000
mc,ml,:72944.000000
mc,t,:455450.000000
mi,mk,:1193640.000000
mi,ml,:7912.000000
mi,t,:35399.000000
mk,ml,:1352182.000000
mk,t,:1633520.000000
ml,t,:10831.000000
cc,cct1,cct2,:4053.000000
cc,cct1,mc,:328488.000000
cc,cct1,mi,:35643.000000
cc,cct1,mk,:6094315.000000
cc,cct1,ml,:47888.000000
cc,cct1,t,:48777.000000
cc,cct2,mc,:268688.000000
cc,cct2,mi,:29154.000000
cc,cct2,mk,:4984863.000000
cc,cct2,ml,:39170.000000
cc,cct2,t,:39898.000000
cc,cn,mc,:35265.000000
cc,ct,mc,:4781.000000
cc,mc,mi,:30118.000000
cc,mc,mk,:1389820.000000
cc,mc,ml,:9216.000000
cc,mc,t,:57541.000000
cc,mi,mk,:210592.000000
cc,mi,ml,:1396.000000
cc,mi,t,:6245.000000
cc,k,mk,:16.000000
cc,mk,ml,:649012.000000
cc,mk,t,:784046.000000
cc,lt,ml,:24.000000
cc,ml,t,:1751.000000
cn,ct,mc,:7699.000000
cn,mc,mi,:48503.000000
cn,mc,mk,:2238225.000000
cn,mc,ml,:14841.000000
cn,mc,t,:92666.000000
ct,mc,mi,:225648.000000
ct,mc,mk,:10412885.000000
ct,mc,ml,:69045.000000
ct,mc,t,:431109.000000
k,mc,mk,:25640.000000
k,mi,mk,:2782.000000
k,mk,ml,:3152.000000
k,mk,t,:3807.000000
lt,mc,ml,:5629.000000
lt,mi,ml,:611.000000
lt,mk,ml,:104354.000000
lt,ml,t,:836.000000
mc,mi,mk,:1256913.000000
mc,mi,ml,:8334.000000
mc,mi,t,:52038.000000
mc,mk,ml,:2008345.000000
mc,mk,t,:2426205.000000
mc,ml,t,:15536.000000
mi,mk,ml,:156519.000000
mi,mk,t,:189084.000000
mi,ml,t,:1197.000000
mk,ml,t,:104062.000000
cc,cct2,cn,mc,mi,ml,t,:402.000000
cc,cct2,cn,k,mc,mk,ml,:280.000000
cc,cct2,cn,k,mc,mk,t,:339.000000
cc,cct2,cn,lt,mc,mk,ml,:118.000000
cc,cct2,cn,mc,mk,ml,t,:8515.000000
cc,cct2,cn,lt,mc,ml,t,:140.000000
cc,cct2,ct,k,mc,mi,mk,:3.000000
cc,cct2,ct,mc,mi,mk,ml,:105308.000000
cc,cct2,ct,mc,mi,mk,t,:127219.000000
cc,cct2,ct,lt,mc,mi,ml,:9.000000
cc,cct2,ct,mc,mi,ml,t,:646.000000
cc,cct2,ct,k,mc,mk,ml,:886.000000
cc,cct2,ct,k,mc,mk,t,:1070.000000
cc,cct2,ct,lt,mc,mk,ml,:494.000000
cc,cct2,ct,mc,mk,ml,t,:35685.000000
cc,cct2,ct,lt,mc,ml,t,:255.000000
cc,cct2,k,mc,mi,mk,ml,:421.000000
cc,cct2,k,mc,mi,mk,t,:508.000000
cc,cct2,lt,mc,mi,mk,ml,:96.000000
cc,cct2,mc,mi,mk,ml,t,:6954.000000
cc,cct2,lt,mc,mi,ml,t,:627.000000
cc,cct2,k,lt,mc,mk,ml,:2.000000
cc,cct2,k,mc,mk,ml,t,:175.000000
cc,cct2,lt,mc,mk,ml,t,:3495.000000
cc,cct2,k,lt,mi,mk,ml,:1.000000
cc,cct2,k,mi,mk,ml,t,:56.000000
cc,cct2,lt,mi,mk,ml,t,:669.000000
cc,cct2,k,lt,mk,ml,t,:28.000000
cc,cn,ct,k,mc,mi,mk,:2.000000
cc,cn,ct,mc,mi,mk,ml,:73759.000000
cc,cn,ct,mc,mi,mk,t,:89105.000000
cc,cn,ct,lt,mc,mi,ml,:6.000000
cc,cn,ct,mc,mi,ml,t,:465.000000
cc,cn,ct,k,mc,mk,ml,:359.000000
cc,cn,ct,k,mc,mk,t,:434.000000
cc,cn,ct,lt,mc,mk,ml,:119.000000
cc,cn,ct,mc,mk,ml,t,:8625.000000
cc,cn,ct,lt,mc,ml,t,:163.000000
cc,cn,k,mc,mi,mk,ml,:239.000000
cc,cn,k,mc,mi,mk,t,:289.000000
cc,cn,lt,mc,mi,mk,ml,:65.000000
cc,cn,mc,mi,mk,ml,t,:4685.000000
cc,cn,lt,mc,mi,ml,t,:460.000000
cc,cn,k,lt,mc,mk,ml,:2.000000
cc,cn,k,mc,mk,ml,t,:117.000000
cc,cn,lt,mc,mk,ml,t,:1814.000000
cc,ct,k,mc,mi,mk,ml,:513.000000
cc,ct,k,mc,mi,mk,t,:619.000000
cc,ct,lt,mc,mi,mk,ml,:111.000000
cc,ct,mc,mi,mk,ml,t,:7989.000000
cc,ct,lt,mc,mi,ml,t,:750.000000
cc,ct,k,lt,mc,mk,ml,:3.000000
cc,ct,k,mc,mk,ml,t,:211.000000
cc,ct,lt,mc,mk,ml,t,:4026.000000
cc,k,lt,mc,mi,mk,ml,:8.000000
cc,k,mc,mi,mk,ml,t,:585.000000
cc,lt,mc,mi,mk,ml,t,:7327.000000
cc,k,lt,mc,mk,ml,t,:210.000000
cc,k,lt,mi,mk,ml,t,:76.000000
cn,ct,k,mc,mi,mk,ml,:264.000000
cn,ct,k,mc,mi,mk,t,:319.000000
cn,ct,lt,mc,mi,mk,ml,:131.000000
cn,ct,mc,mi,mk,ml,t,:9466.000000
cn,ct,lt,mc,mi,ml,t,:1100.000000
cn,ct,k,lt,mc,mk,ml,:3.000000
cn,ct,k,mc,mk,ml,t,:188.000000
cn,ct,lt,mc,mk,ml,t,:3820.000000
cn,k,lt,mc,mi,mk,ml,:7.000000
cn,k,mc,mi,mk,ml,t,:521.000000
cn,lt,mc,mi,mk,ml,t,:8987.000000
cn,k,lt,mc,mk,ml,t,:187.000000
ct,k,lt,mc,mi,mk,ml,:13.000000
ct,k,mc,mi,mk,ml,t,:903.000000
ct,lt,mc,mi,mk,ml,t,:15368.000000
ct,k,lt,mc,mk,ml,t,:347.000000
k,lt,mc,mi,mk,ml,t,:937.000000
cc,cct1,cct2,cn,ct,mc,mi,mk,:68534.000000
cc,cct1,cct2,cn,ct,mc,mi,ml,:454.000000
cc,cct1,cct2,cn,ct,mc,mi,t,:2837.000000
cc,cct1,cct2,cn,ct,k,mc,mk,:3.000000
cc,cct1,cct2,cn,ct,mc,mk,ml,:139461.000000
cc,cct1,cct2,cn,ct,mc,mk,t,:168478.000000
cc,cct1,cct2,cn,ct,lt,mc,ml,:4.000000
cc,cct1,cct2,cn,ct,mc,ml,t,:286.000000
cc,cct1,cct2,cn,k,mc,mi,mk,:1.000000
cc,cct1,cct2,cn,mc,mi,mk,ml,:46754.000000
cc,cct1,cct2,cn,mc,mi,mk,t,:56482.000000
cc,cct1,cct2,cn,lt,mc,mi,ml,:6.000000
cc,cct1,cct2,cn,mc,mi,ml,t,:402.000000
cc,cct1,cct2,cn,k,mc,mk,ml,:280.000000
cc,cct1,cct2,cn,k,mc,mk,t,:339.000000
cc,cct1,cct2,cn,lt,mc,mk,ml,:118.000000
cc,cct1,cct2,cn,mc,mk,ml,t,:8515.000000
cc,cct1,cct2,cn,lt,mc,ml,t,:140.000000
cc,cct1,cct2,ct,k,mc,mi,mk,:3.000000
cc,cct1,cct2,ct,mc,mi,mk,ml,:105308.000000
cc,cct1,cct2,ct,mc,mi,mk,t,:127219.000000
cc,cct1,cct2,ct,lt,mc,mi,ml,:9.000000
cc,cct1,cct2,ct,mc,mi,ml,t,:646.000000
cc,cct1,cct2,ct,k,mc,mk,ml,:886.000000
cc,cct1,cct2,ct,k,mc,mk,t,:1070.000000
cc,cct1,cct2,ct,lt,mc,mk,ml,:494.000000
cc,cct1,cct2,ct,mc,mk,ml,t,:35685.000000
cc,cct1,cct2,ct,lt,mc,ml,t,:255.000000
cc,cct1,cct2,k,mc,mi,mk,ml,:421.000000
cc,cct1,cct2,k,mc,mi,mk,t,:508.000000
cc,cct1,cct2,lt,mc,mi,mk,ml,:96.000000
cc,cct1,cct2,mc,mi,mk,ml,t,:6954.000000
cc,cct1,cct2,lt,mc,mi,ml,t,:627.000000
cc,cct1,cct2,k,lt,mc,mk,ml,:2.000000
cc,cct1,cct2,k,mc,mk,ml,t,:175.000000
cc,cct1,cct2,lt,mc,mk,ml,t,:3495.000000
cc,cct1,cct2,k,lt,mi,mk,ml,:1.000000
cc,cct1,cct2,k,mi,mk,ml,t,:56.000000
cc,cct1,cct2,lt,mi,mk,ml,t,:669.000000
cc,cct1,cct2,k,lt,mk,ml,t,:28.000000
cc,cct1,cn,ct,k,mc,mi,mk,:2.000000
cc,cct1,cn,ct,mc,mi,mk,ml,:73759.000000
cc,cct1,cn,ct,mc,mi,mk,t,:89105.000000
cc,cct1,cn,ct,lt,mc,mi,ml,:6.000000
cc,cct1,cn,ct,mc,mi,ml,t,:465.000000
cc,cct1,cn,ct,k,mc,mk,ml,:359.000000
cc,cct1,cn,ct,k,mc,mk,t,:434.000000
cc,cct1,cn,ct,lt,mc,mk,ml,:119.000000
cc,cct1,cn,ct,mc,mk,ml,t,:8625.000000
cc,cct1,cn,ct,lt,mc,ml,t,:163.000000
cc,cct1,cn,k,mc,mi,mk,ml,:239.000000
cc,cct1,cn,k,mc,mi,mk,t,:289.000000
cc,cct1,cn,lt,mc,mi,mk,ml,:65.000000
cc,cct1,cn,mc,mi,mk,ml,t,:4685.000000
cc,cct1,cn,lt,mc,mi,ml,t,:460.000000
cc,cct1,cn,k,lt,mc,mk,ml,:2.000000
cc,cct1,cn,k,mc,mk,ml,t,:117.000000
cc,cct1,cn,lt,mc,mk,ml,t,:1814.000000
cc,cct1,ct,k,mc,mi,mk,ml,:513.000000
cc,cct1,ct,k,mc,mi,mk,t,:619.000000
cc,cct1,ct,lt,mc,mi,mk,ml,:111.000000
cc,cct1,ct,mc,mi,mk,ml,t,:7989.000000
cc,cct1,ct,lt,mc,mi,ml,t,:750.000000
cc,cct1,ct,k,lt,mc,mk,ml,:3.000000
cc,cct1,ct,k,mc,mk,ml,t,:211.000000
cc,cct1,ct,lt,mc,mk,ml,t,:4026.000000
cc,cct1,k,lt,mc,mi,mk,ml,:8.000000
cc,cct1,k,mc,mi,mk,ml,t,:585.000000
cc,cct1,lt,mc,mi,mk,ml,t,:7327.000000
cc,cct1,k,lt,mc,mk,ml,t,:210.000000
cc,cct1,k,lt,mi,mk,ml,t,:76.000000
cc,cct2,cn,ct,k,mc,mi,mk,:1.000000
cc,cct2,cn,ct,mc,mi,mk,ml,:42402.000000
cc,cct2,cn,ct,mc,mi,mk,t,:51224.000000
cc,cct2,cn,ct,lt,mc,mi,ml,:5.000000
cc,cct2,cn,ct,mc,mi,ml,t,:381.000000
cc,cct2,cn,ct,k,mc,mk,ml,:247.000000
cc,cct2,cn,ct,k,mc,mk,t,:298.000000
cc,cct2,cn,ct,lt,mc,mk,ml,:114.000000
cc,cct2,cn,ct,mc,mk,ml,t,:8212.000000
cc,cct2,cn,ct,lt,mc,ml,t,:133.000000
cc,cct2,cn,k,mc,mi,mk,ml,:191.000000
cc,cct2,cn,k,mc,mi,mk,t,:230.000000
cc,cct2,cn,lt,mc,mi,mk,ml,:55.000000
cc,cct2,cn,mc,mi,mk,ml,t,:3939.000000
cc,cct2,cn,lt,mc,mi,ml,t,:378.000000
cc,cct2,cn,k,lt,mc,mk,ml,:1.000000
cc,cct2,cn,k,mc,mk,ml,t,:90.000000
cc,cct2,cn,lt,mc,mk,ml,t,:1556.000000
cc,cct2,ct,k,mc,mi,mk,ml,:379.000000
cc,cct2,ct,k,mc,mi,mk,t,:457.000000
cc,cct2,ct,lt,mc,mi,mk,ml,:90.000000
cc,cct2,ct,mc,mi,mk,ml,t,:6490.000000
cc,cct2,ct,lt,mc,mi,ml,t,:585.000000
cc,cct2,ct,k,lt,mc,mk,ml,:2.000000
cc,cct2,ct,k,mc,mk,ml,t,:155.000000
cc,cct2,ct,lt,mc,mk,ml,t,:3002.000000
cc,cct2,k,lt,mc,mi,mk,ml,:6.000000
cc,cct2,k,mc,mi,mk,ml,t,:420.000000
cc,cct2,lt,mc,mi,mk,ml,t,:5846.000000
cc,cct2,k,lt,mc,mk,ml,t,:154.000000
cc,cct2,k,lt,mi,mk,ml,t,:56.000000
cc,cn,ct,k,mc,mi,mk,ml,:217.000000
cc,cn,ct,k,mc,mi,mk,t,:263.000000
cc,cn,ct,lt,mc,mi,mk,ml,:63.000000
cc,cn,ct,mc,mi,mk,ml,t,:4582.000000
cc,cn,ct,lt,mc,mi,ml,t,:440.000000
cc,cn,ct,k,lt,mc,mk,ml,:2.000000
cc,cn,ct,k,mc,mk,ml,t,:110.000000
cc,cn,ct,lt,mc,mk,ml,t,:1777.000000
cc,cn,k,lt,mc,mi,mk,ml,:5.000000
cc,cn,k,mc,mi,mk,ml,t,:337.000000
cc,cn,lt,mc,mi,mk,ml,t,:4193.000000
cc,cn,k,lt,mc,mk,ml,t,:117.000000
cc,ct,k,lt,mc,mi,mk,ml,:8.000000
cc,ct,k,mc,mi,mk,ml,t,:564.000000
cc,ct,lt,mc,mi,mk,ml,t,:6914.000000
cc,ct,k,lt,mc,mk,ml,t,:199.000000
cc,k,lt,mc,mi,mk,ml,t,:585.000000
cn,ct,k,lt,mc,mi,mk,ml,:7.000000
cn,ct,k,mc,mi,mk,ml,t,:500.000000
cn,ct,lt,mc,mi,mk,ml,t,:8737.000000
cn,ct,k,lt,mc,mk,ml,t,:180.000000
cn,k,lt,mc,mi,mk,ml,t,:521.000000
ct,k,lt,mc,mi,mk,ml,t,:903.000000
cc,cct1,cct2,cn,ct,k,mc,mi,mk,:1.000000
cc,cct1,cct2,cn,ct,mc,mi,mk,ml,:42402.000000
cc,cct1,cct2,cn,ct,mc,mi,mk,t,:51224.000000
cc,cct1,cct2,cn,ct,lt,mc,mi,ml,:5.000000
cc,cct1,cct2,cn,ct,mc,mi,ml,t,:381.000000
cc,cct1,cct2,cn,ct,k,mc,mk,ml,:247.000000
cc,cct1,cct2,cn,ct,k,mc,mk,t,:298.000000
cc,cct1,cct2,cn,ct,lt,mc,mk,ml,:114.000000
cc,cct1,cct2,cn,ct,mc,mk,ml,t,:8212.000000
cc,cct1,cct2,cn,ct,lt,mc,ml,t,:133.000000
cc,cct1,cct2,cn,k,mc,mi,mk,ml,:191.000000
cc,cct1,cct2,cn,k,mc,mi,mk,t,:230.000000
cc,cct1,cct2,cn,lt,mc,mi,mk,ml,:55.000000
cc,cct1,cct2,cn,mc,mi,mk,ml,t,:3939.000000
cc,cct1,cct2,cn,lt,mc,mi,ml,t,:378.000000
cc,cct1,cct2,cn,k,lt,mc,mk,ml,:1.000000
cc,cct1,cct2,cn,k,mc,mk,ml,t,:90.000000
cc,cct1,cct2,cn,lt,mc,mk,ml,t,:1556.000000
cc,cct1,cct2,ct,k,mc,mi,mk,ml,:379.000000
cc,cct1,cct2,ct,k,mc,mi,mk,t,:457.000000
cc,cct1,cct2,ct,lt,mc,mi,mk,ml,:90.000000
cc,cct1,cct2,ct,mc,mi,mk,ml,t,:6490.000000
cc,cct1,cct2,ct,lt,mc,mi,ml,t,:585.000000
cc,cct1,cct2,ct,k,lt,mc,mk,ml,:2.000000
cc,cct1,cct2,ct,k,mc,mk,ml,t,:155.000000
cc,cct1,cct2,ct,lt,mc,mk,ml,t,:3002.000000
cc,cct1,cct2,k,lt,mc,mi,mk,ml,:6.000000
cc,cct1,cct2,k,mc,mi,mk,ml,t,:420.000000
cc,cct1,cct2,lt,mc,mi,mk,ml,t,:5846.000000
cc,cct1,cct2,k,lt,mc,mk,ml,t,:154.000000
cc,cct1,cct2,k,lt,mi,mk,ml,t,:56.000000
cc,cct1,cn,ct,k,mc,mi,mk,ml,:217.000000
cc,cct1,cn,ct,k,mc,mi,mk,t,:263.000000
cc,cct1,cn,ct,lt,mc,mi,mk,ml,:63.000000
cc,cct1,cn,ct,mc,mi,mk,ml,t,:4582.000000
cc,cct1,cn,ct,lt,mc,mi,ml,t,:440.000000
cc,cct1,cn,ct,k,lt,mc,mk,ml,:2.000000
cc,cct1,cn,ct,k,mc,mk,ml,t,:110.000000
cc,cct1,cn,ct,lt,mc,mk,ml,t,:1777.000000
cc,cct1,cn,k,lt,mc,mi,mk,ml,:5.000000
cc,cct1,cn,k,mc,mi,mk,ml,t,:337.000000
cc,cct1,cn,lt,mc,mi,mk,ml,t,:4193.000000
cc,cct1,cn,k,lt,mc,mk,ml,t,:117.000000
cc,cct1,ct,k,lt,mc,mi,mk,ml,:8.000000
cc,cct1,ct,k,mc,mi,mk,ml,t,:564.000000
cc,cct1,ct,lt,mc,mi,mk,ml,t,:6914.000000
cc,cct1,ct,k,lt,mc,mk,ml,t,:199.000000
cc,cct1,k,lt,mc,mi,mk,ml,t,:585.000000
cc,cct2,cn,ct,k,mc,mi,mk,ml,:171.000000
cc,cct2,cn,ct,k,mc,mi,mk,t,:207.000000
cc,cct2,cn,ct,lt,mc,mi,mk,ml,:53.000000
cc,cct2,cn,ct,mc,mi,mk,ml,t,:3837.000000
cc,cct2,cn,ct,lt,mc,mi,ml,t,:357.000000
cc,cct2,cn,ct,k,lt,mc,mk,ml,:1.000000
cc,cct2,cn,ct,k,mc,mk,ml,t,:83.000000
cc,cct2,cn,ct,lt,mc,mk,ml,t,:1520.000000
cc,cct2,cn,k,lt,mc,mi,mk,ml,:4.000000
cc,cct2,cn,k,mc,mi,mk,ml,t,:255.000000
cc,cct2,cn,lt,mc,mi,mk,ml,t,:3452.000000
cc,cct2,cn,k,lt,mc,mk,ml,t,:90.000000
cc,cct2,ct,k,lt,mc,mi,mk,ml,:6.000000
cc,cct2,ct,k,mc,mi,mk,ml,t,:399.000000
cc,cct2,ct,lt,mc,mi,mk,ml,t,:5432.000000
cc,cct2,ct,k,lt,mc,mk,ml,t,:144.000000
cc,cct2,k,lt,mc,mi,mk,ml,t,:420.000000
cc,cn,ct,k,lt,mc,mi,mk,ml,:4.000000
cc,cn,ct,k,mc,mi,mk,ml,t,:316.000000
cc,cn,ct,lt,mc,mi,mk,ml,t,:4090.000000
cc,cn,ct,k,lt,mc,mk,ml,t,:110.000000
cc,cn,k,lt,mc,mi,mk,ml,t,:337.000000
cc,ct,k,lt,mc,mi,mk,ml,t,:564.000000
cn,ct,k,lt,mc,mi,mk,ml,t,:500.000000
cc,cct1,cct2,cn,ct,k,mc,mi,mk,ml,:171.000000
cc,cct1,cct2,cn,ct,k,mc,mi,mk,t,:207.000000
cc,cct1,cct2,cn,ct,lt,mc,mi,mk,ml,:53.000000
cc,cct1,cct2,cn,ct,mc,mi,mk,ml,t,:3837.000000
cc,cct1,cct2,cn,ct,lt,mc,mi,ml,t,:357.000000
cc,cct1,cct2,cn,ct,k,lt,mc,mk,ml,:1.000000
cc,cct1,cct2,cn,ct,k,mc,mk,ml,t,:83.000000
cc,cct1,cct2,cn,ct,lt,mc,mk,ml,t,:1520.000000
cc,cct1,cct2,cn,k,lt,mc,mi,mk,ml,:4.000000
cc,cct1,cct2,cn,k,mc,mi,mk,ml,t,:255.000000
cc,cct1,cct2,cn,lt,mc,mi,mk,ml,t,:3452.000000
cc,cct1,cct2,cn,k,lt,mc,mk,ml,t,:90.000000
cc,cct1,cct2,ct,k,lt,mc,mi,mk,ml,:6.000000
cc,cct1,cct2,ct,k,mc,mi,mk,ml,t,:399.000000
cc,cct1,cct2,ct,lt,mc,mi,mk,ml,t,:5432.000000
cc,cct1,cct2,ct,k,lt,mc,mk,ml,t,:144.000000
cc,cct1,cct2,k,lt,mc,mi,mk,ml,t,:420.000000
cc,cct1,cn,ct,k,lt,mc,mi,mk,ml,:4.000000
cc,cct1,cn,ct,k,mc,mi,mk,ml,t,:316.000000
cc,cct1,cn,ct,lt,mc,mi,mk,ml,t,:4090.000000
cc,cct1,cn,ct,k,lt,mc,mk,ml,t,:110.000000
cc,cct1,cn,k,lt,mc,mi,mk,ml,t,:337.000000
cc,cct1,ct,k,lt,mc,mi,mk,ml,t,:564.000000
cc,cct2,cn,ct,k,lt,mc,mi,mk,ml,:3.000000
cc,cct2,cn,ct,k,mc,mi,mk,ml,t,:234.000000
cc,cct2,cn,ct,lt,mc,mi,mk,ml,t,:3349.000000
cc,cct2,cn,ct,k,lt,mc,mk,ml,t,:83.000000
cc,cct2,cn,k,lt,mc,mi,mk,ml,t,:255.000000
cc,cct2,ct,k,lt,mc,mi,mk,ml,t,:399.000000
cc,cn,ct,k,lt,mc,mi,mk,ml,t,:316.000000
cc,cct1,cct2,cn,ct,k,lt,mc,mi,mk,ml,:3.000000
cc,cct1,cct2,cn,ct,k,mc,mi,mk,ml,t,:234.000000
cc,cct1,cct2,cn,ct,lt,mc,mi,mk,ml,t,:3349.000000
cc,cct1,cct2,cn,ct,k,lt,mc,mk,ml,t,:83.000000
cc,cct1,cct2,cn,k,lt,mc,mi,mk,ml,t,:255.000000
cc,cct1,cct2,ct,k,lt,mc,mi,mk,ml,t,:399.000000
cc,cct1,cn,ct,k,lt,mc,mi,mk,ml,t,:316.000000
cc,cct2,cn,ct,k,lt,mc,mi,mk,ml,t,:234.000000
cc,cct1,cct2,cn,ct,k,lt,mc,mi,mk,ml,t,:234.000000
