an,ci,:2180734.000000
an,n,:6330.000000
chn,ci,:441308.000000
ci,mc,:2333029.000000
ci,mi,:341949.000000
ci,mk,:4045204.000000
ci,n,:6337.000000
ci,rt,:27067.000000
ci,t,:13.000000
cn,mc,:11.000000
it,mi,:3384.000000
k,mk,:135.000000
mc,mi,:1923578.000000
mc,mk,:22755610.000000
mc,t,:37.000000
mi,mk,:4656225.000000
mi,t,:5.000000
mk,t,:64.000000
an,chn,ci,:883670.000000
an,ci,mc,:4671630.000000
an,ci,mi,:684715.000000
an,ci,mk,:8100069.000000
an,ci,n,:12688.000000
an,ci,rt,:54198.000000
an,ci,t,:26.000000
chn,ci,mc,:2071947.000000
chn,ci,mi,:303683.000000
chn,ci,mk,:3592518.000000
chn,ci,n,:5627.000000
chn,ci,rt,:24038.000000
chn,ci,t,:11.000000
ci,cn,mc,:7.000000
ci,mc,mi,:1141324.000000
ci,mc,mk,:13501678.000000
ci,mc,n,:10873.000000
ci,mc,rt,:46443.000000
ci,mc,t,:22.000000
ci,it,mi,:1184.000000
ci,mi,mk,:1628912.000000
ci,mi,n,:940.000000
ci,mi,rt,:4013.000000
ci,mi,t,:2.000000
ci,k,mk,:136.000000
ci,mk,n,:32135.000000
ci,mk,rt,:137264.000000
ci,mk,t,:65.000000
ci,n,rt,:197.000000
ci,n,t,:1.000000
ci,rt,t,:4.000000
cn,mc,mi,:73.000000
cn,mc,mk,:863.000000
cn,mc,t,:1.000000
it,mc,mi,:1515268.000000
it,mi,mk,:3667868.000000
it,mi,t,:4.000000
k,mc,mk,:48771.000000
k,mi,mk,:9980.000000
k,mk,t,:1.000000
mc,mi,mk,:5640588.000000
mc,mi,t,:7.000000
mc,mk,t,:496.000000
mi,mk,t,:14.000000
ci,cn,it,mc,mi,n,rt,:1.000000
ci,cn,it,mc,mi,n,t,:1.000000
ci,cn,it,mc,mi,rt,t,:1.000000
ci,cn,k,mc,mi,mk,n,:5.000000
ci,cn,k,mc,mi,mk,rt,:23.000000
ci,cn,k,mc,mi,mk,t,:1.000000
ci,cn,mc,mi,mk,n,rt,:23.000000
ci,cn,mc,mi,mk,n,t,:1.000000
ci,cn,mc,mi,mk,rt,t,:1.000000
ci,cn,mc,mi,n,rt,t,:1.000000
ci,cn,k,mc,mk,n,rt,:1.000000
ci,cn,k,mc,mk,n,t,:1.000000
ci,cn,k,mc,mk,rt,t,:1.000000
ci,cn,mc,mk,n,rt,t,:1.000000
ci,it,k,mc,mi,mk,n,:743.000000
ci,it,k,mc,mi,mk,rt,:3175.000000
ci,it,k,mc,mi,mk,t,:2.000000
ci,it,mc,mi,mk,n,rt,:8145.000000
ci,it,mc,mi,mk,n,t,:4.000000
ci,it,mc,mi,mk,rt,t,:96.000000
ci,it,mc,mi,n,rt,t,:1.000000
ci,k,mc,mi,mk,n,rt,:38.000000
ci,k,mc,mi,mk,n,t,:1.000000
ci,k,mc,mi,mk,rt,t,:1.000000
ci,mc,mi,mk,n,rt,t,:4.000000
ci,k,mc,mk,n,rt,t,:1.000000
ci,it,k,mi,mk,n,rt,:4.000000
ci,it,k,mi,mk,n,t,:1.000000
ci,it,k,mi,mk,rt,t,:1.000000
ci,it,mi,mk,n,rt,t,:1.000000
ci,k,mi,mk,n,rt,t,:1.000000
cn,it,k,mc,mi,mk,t,:1.000000
an,chn,ci,cn,it,mc,mi,mk,:21210.000000
an,chn,ci,cn,it,mc,mi,n,:12.000000
an,chn,ci,cn,it,mc,mi,rt,:52.000000
an,chn,ci,cn,it,mc,mi,t,:1.000000
an,chn,ci,cn,k,mc,mi,mk,:3.000000
an,chn,ci,cn,mc,mi,mk,n,:797.000000
an,chn,ci,cn,mc,mi,mk,rt,:3403.000000
an,chn,ci,cn,mc,mi,mk,t,:2.000000
an,chn,ci,cn,mc,mi,n,rt,:1.000000
an,chn,ci,cn,mc,mi,n,t,:1.000000
an,chn,ci,cn,mc,mi,rt,t,:1.000000
an,chn,ci,cn,k,mc,mk,n,:10.000000
an,chn,ci,cn,k,mc,mk,rt,:43.000000
an,chn,ci,cn,k,mc,mk,t,:1.000000
an,chn,ci,cn,mc,mk,n,rt,:98.000000
an,chn,ci,cn,mc,mk,n,t,:1.000000
an,chn,ci,cn,mc,mk,rt,t,:1.000000
an,chn,ci,cn,mc,n,rt,t,:1.000000
an,chn,ci,it,k,mc,mi,mk,:1096.000000
an,chn,ci,it,mc,mi,mk,n,:258188.000000
an,chn,ci,it,mc,mi,mk,rt,:1102845.000000
an,chn,ci,it,mc,mi,mk,t,:523.000000
an,chn,ci,it,mc,mi,n,rt,:247.000000
an,chn,ci,it,mc,mi,n,t,:1.000000
an,chn,ci,it,mc,mi,rt,t,:3.000000
an,chn,ci,k,mc,mi,mk,n,:1452.000000
an,chn,ci,k,mc,mi,mk,rt,:6202.000000
an,chn,ci,k,mc,mi,mk,t,:3.000000
an,chn,ci,mc,mi,mk,n,rt,:12581.000000
an,chn,ci,mc,mi,mk,n,t,:6.000000
an,chn,ci,mc,mi,mk,rt,t,:127.000000
an,chn,ci,mc,mi,n,rt,t,:1.000000
an,chn,ci,k,mc,mk,n,rt,:124.000000
an,chn,ci,k,mc,mk,n,t,:1.000000
an,chn,ci,k,mc,mk,rt,t,:2.000000
an,chn,ci,mc,mk,n,rt,t,:7.000000
an,chn,ci,it,k,mi,mk,n,:166.000000
an,chn,ci,it,k,mi,mk,rt,:710.000000
an,chn,ci,it,k,mi,mk,t,:1.000000
an,chn,ci,it,mi,mk,n,rt,:593.000000
an,chn,ci,it,mi,mk,n,t,:1.000000
an,chn,ci,it,mi,mk,rt,t,:10.000000
an,chn,ci,it,mi,n,rt,t,:1.000000
an,chn,ci,k,mi,mk,n,rt,:5.000000
an,chn,ci,k,mi,mk,n,t,:1.000000
an,chn,ci,k,mi,mk,rt,t,:1.000000
an,chn,ci,mi,mk,n,rt,t,:1.000000
an,chn,ci,k,mk,n,rt,t,:1.000000
an,ci,cn,it,k,mc,mi,mk,:3.000000
an,ci,cn,it,mc,mi,mk,n,:819.000000
an,ci,cn,it,mc,mi,mk,rt,:3498.000000
an,ci,cn,it,mc,mi,mk,t,:2.000000
an,ci,cn,it,mc,mi,n,rt,:2.000000
an,ci,cn,it,mc,mi,n,t,:1.000000
an,ci,cn,it,mc,mi,rt,t,:1.000000
an,ci,cn,k,mc,mi,mk,n,:10.000000
an,ci,cn,k,mc,mi,mk,rt,:43.000000
an,ci,cn,k,mc,mi,mk,t,:1.000000
an,ci,cn,mc,mi,mk,n,rt,:81.000000
an,ci,cn,mc,mi,mk,n,t,:1.000000
an,ci,cn,mc,mi,mk,rt,t,:1.000000
an,ci,cn,mc,mi,n,rt,t,:1.000000
an,ci,cn,k,mc,mk,n,rt,:2.000000
an,ci,cn,k,mc,mk,n,t,:1.000000
an,ci,cn,k,mc,mk,rt,t,:1.000000
an,ci,cn,mc,mk,n,rt,t,:1.000000
an,ci,it,k,mc,mi,mk,n,:1506.000000
an,ci,it,k,mc,mi,mk,rt,:6434.000000
an,ci,it,k,mc,mi,mk,t,:3.000000
an,ci,it,mc,mi,mk,n,rt,:12739.000000
an,ci,it,mc,mi,mk,n,t,:6.000000
an,ci,it,mc,mi,mk,rt,t,:149.000000
an,ci,it,mc,mi,n,rt,t,:1.000000
an,ci,k,mc,mi,mk,n,rt,:64.000000
an,ci,k,mc,mi,mk,n,t,:1.000000
an,ci,k,mc,mi,mk,rt,t,:1.000000
an,ci,mc,mi,mk,n,rt,t,:6.000000
an,ci,k,mc,mk,n,rt,t,:1.000000
an,ci,it,k,mi,mk,n,rt,:5.000000
an,ci,it,k,mi,mk,n,t,:1.000000
an,ci,it,k,mi,mk,rt,t,:1.000000
an,ci,it,mi,mk,n,rt,t,:1.000000
an,ci,k,mi,mk,n,rt,t,:1.000000
chn,ci,cn,it,k,mc,mi,mk,:2.000000
chn,ci,cn,it,mc,mi,mk,n,:516.000000
chn,ci,cn,it,mc,mi,mk,rt,:2202.000000
chn,ci,cn,it,mc,mi,mk,t,:1.000000
chn,ci,cn,it,mc,mi,n,rt,:1.000000
chn,ci,cn,it,mc,mi,n,t,:1.000000
chn,ci,cn,it,mc,mi,rt,t,:1.000000
chn,ci,cn,k,mc,mi,mk,n,:5.000000
chn,ci,cn,k,mc,mi,mk,rt,:22.000000
chn,ci,cn,k,mc,mi,mk,t,:1.000000
chn,ci,cn,mc,mi,mk,n,rt,:23.000000
chn,ci,cn,mc,mi,mk,n,t,:1.000000
chn,ci,cn,mc,mi,mk,rt,t,:1.000000
chn,ci,cn,mc,mi,n,rt,t,:1.000000
chn,ci,cn,k,mc,mk,n,rt,:1.000000
chn,ci,cn,k,mc,mk,n,t,:1.000000
chn,ci,cn,k,mc,mk,rt,t,:1.000000
chn,ci,cn,mc,mk,n,rt,t,:1.000000
chn,ci,it,k,mc,mi,mk,n,:703.000000
chn,ci,it,k,mc,mi,mk,rt,:3001.000000
chn,ci,it,k,mc,mi,mk,t,:1.000000
chn,ci,it,mc,mi,mk,n,rt,:7781.000000
chn,ci,it,mc,mi,mk,n,t,:4.000000
chn,ci,it,mc,mi,mk,rt,t,:86.000000
chn,ci,it,mc,mi,n,rt,t,:1.000000
chn,ci,k,mc,mi,mk,n,rt,:35.000000
chn,ci,k,mc,mi,mk,n,t,:1.000000
chn,ci,k,mc,mi,mk,rt,t,:1.000000
chn,ci,mc,mi,mk,n,rt,t,:4.000000
chn,ci,k,mc,mk,n,rt,t,:1.000000
chn,ci,it,k,mi,mk,n,rt,:3.000000
chn,ci,it,k,mi,mk,n,t,:1.000000
chn,ci,it,k,mi,mk,rt,t,:1.000000
chn,ci,it,mi,mk,n,rt,t,:1.000000
chn,ci,k,mi,mk,n,rt,t,:1.000000
ci,cn,it,k,mc,mi,mk,n,:5.000000
ci,cn,it,k,mc,mi,mk,rt,:23.000000
ci,cn,it,k,mc,mi,mk,t,:1.000000
ci,cn,it,mc,mi,mk,n,rt,:23.000000
ci,cn,it,mc,mi,mk,n,t,:1.000000
ci,cn,it,mc,mi,mk,rt,t,:1.000000
ci,cn,it,mc,mi,n,rt,t,:1.000000
ci,cn,k,mc,mi,mk,n,rt,:1.000000
ci,cn,k,mc,mi,mk,n,t,:1.000000
ci,cn,k,mc,mi,mk,rt,t,:1.000000
ci,cn,mc,mi,mk,n,rt,t,:1.000000
ci,cn,k,mc,mk,n,rt,t,:1.000000
ci,it,k,mc,mi,mk,n,rt,:38.000000
ci,it,k,mc,mi,mk,n,t,:1.000000
ci,it,k,mc,mi,mk,rt,t,:1.000000
ci,it,mc,mi,mk,n,rt,t,:4.000000
ci,k,mc,mi,mk,n,rt,t,:1.000000
ci,it,k,mi,mk,n,rt,t,:1.000000
an,chn,ci,cn,it,k,mc,mi,mk,:3.000000
an,chn,ci,cn,it,mc,mi,mk,n,:797.000000
an,chn,ci,cn,it,mc,mi,mk,rt,:3403.000000
an,chn,ci,cn,it,mc,mi,mk,t,:2.000000
an,chn,ci,cn,it,mc,mi,n,rt,:1.000000
an,chn,ci,cn,it,mc,mi,n,t,:1.000000
an,chn,ci,cn,it,mc,mi,rt,t,:1.000000
an,chn,ci,cn,k,mc,mi,mk,n,:10.000000
an,chn,ci,cn,k,mc,mi,mk,rt,:42.000000
an,chn,ci,cn,k,mc,mi,mk,t,:1.000000
an,chn,ci,cn,mc,mi,mk,n,rt,:81.000000
an,chn,ci,cn,mc,mi,mk,n,t,:1.000000
an,chn,ci,cn,mc,mi,mk,rt,t,:1.000000
an,chn,ci,cn,mc,mi,n,rt,t,:1.000000
an,chn,ci,cn,k,mc,mk,n,rt,:2.000000
an,chn,ci,cn,k,mc,mk,n,t,:1.000000
an,chn,ci,cn,k,mc,mk,rt,t,:1.000000
an,chn,ci,cn,mc,mk,n,rt,t,:1.000000
an,chn,ci,it,k,mc,mi,mk,n,:1452.000000
an,chn,ci,it,k,mc,mi,mk,rt,:6202.000000
an,chn,ci,it,k,mc,mi,mk,t,:3.000000
an,chn,ci,it,mc,mi,mk,n,rt,:12581.000000
an,chn,ci,it,mc,mi,mk,n,t,:6.000000
an,chn,ci,it,mc,mi,mk,rt,t,:127.000000
an,chn,ci,it,mc,mi,n,rt,t,:1.000000
an,chn,ci,k,mc,mi,mk,n,rt,:64.000000
an,chn,ci,k,mc,mi,mk,n,t,:1.000000
an,chn,ci,k,mc,mi,mk,rt,t,:1.000000
an,chn,ci,mc,mi,mk,n,rt,t,:6.000000
an,chn,ci,k,mc,mk,n,rt,t,:1.000000
an,chn,ci,it,k,mi,mk,n,rt,:5.000000
an,chn,ci,it,k,mi,mk,n,t,:1.000000
an,chn,ci,it,k,mi,mk,rt,t,:1.000000
an,chn,ci,it,mi,mk,n,rt,t,:1.000000
an,chn,ci,k,mi,mk,n,rt,t,:1.000000
an,ci,cn,it,k,mc,mi,mk,n,:10.000000
an,ci,cn,it,k,mc,mi,mk,rt,:43.000000
an,ci,cn,it,k,mc,mi,mk,t,:1.000000
an,ci,cn,it,mc,mi,mk,n,rt,:81.000000
an,ci,cn,it,mc,mi,mk,n,t,:1.000000
an,ci,cn,it,mc,mi,mk,rt,t,:1.000000
an,ci,cn,it,mc,mi,n,rt,t,:1.000000
an,ci,cn,k,mc,mi,mk,n,rt,:2.000000
an,ci,cn,k,mc,mi,mk,n,t,:1.000000
an,ci,cn,k,mc,mi,mk,rt,t,:1.000000
an,ci,cn,mc,mi,mk,n,rt,t,:1.000000
an,ci,cn,k,mc,mk,n,rt,t,:1.000000
an,ci,it,k,mc,mi,mk,n,rt,:64.000000
an,ci,it,k,mc,mi,mk,n,t,:1.000000
an,ci,it,k,mc,mi,mk,rt,t,:1.000000
an,ci,it,mc,mi,mk,n,rt,t,:6.000000
an,ci,k,mc,mi,mk,n,rt,t,:1.000000
an,ci,it,k,mi,mk,n,rt,t,:1.000000
chn,ci,cn,it,k,mc,mi,mk,n,:5.000000
chn,ci,cn,it,k,mc,mi,mk,rt,:22.000000
chn,ci,cn,it,k,mc,mi,mk,t,:1.000000
chn,ci,cn,it,mc,mi,mk,n,rt,:23.000000
chn,ci,cn,it,mc,mi,mk,n,t,:1.000000
chn,ci,cn,it,mc,mi,mk,rt,t,:1.000000
chn,ci,cn,it,mc,mi,n,rt,t,:1.000000
chn,ci,cn,k,mc,mi,mk,n,rt,:1.000000
chn,ci,cn,k,mc,mi,mk,n,t,:1.000000
chn,ci,cn,k,mc,mi,mk,rt,t,:1.000000
chn,ci,cn,mc,mi,mk,n,rt,t,:1.000000
chn,ci,cn,k,mc,mk,n,rt,t,:1.000000
chn,ci,it,k,mc,mi,mk,n,rt,:35.000000
chn,ci,it,k,mc,mi,mk,n,t,:1.000000
chn,ci,it,k,mc,mi,mk,rt,t,:1.000000
chn,ci,it,mc,mi,mk,n,rt,t,:4.000000
chn,ci,k,mc,mi,mk,n,rt,t,:1.000000
chn,ci,it,k,mi,mk,n,rt,t,:1.000000
ci,cn,it,k,mc,mi,mk,n,rt,:1.000000
ci,cn,it,k,mc,mi,mk,n,t,:1.000000
ci,cn,it,k,mc,mi,mk,rt,t,:1.000000
ci,cn,it,mc,mi,mk,n,rt,t,:1.000000
ci,cn,k,mc,mi,mk,n,rt,t,:1.000000
ci,it,k,mc,mi,mk,n,rt,t,:1.000000
an,chn,ci,cn,it,k,mc,mi,mk,n,:10.000000
an,chn,ci,cn,it,k,mc,mi,mk,rt,:42.000000
an,chn,ci,cn,it,k,mc,mi,mk,t,:1.000000
an,chn,ci,cn,it,mc,mi,mk,n,rt,:81.000000
an,chn,ci,cn,it,mc,mi,mk,n,t,:1.000000
an,chn,ci,cn,it,mc,mi,mk,rt,t,:1.000000
an,chn,ci,cn,it,mc,mi,n,rt,t,:1.000000
an,chn,ci,cn,k,mc,mi,mk,n,rt,:2.000000
an,chn,ci,cn,k,mc,mi,mk,n,t,:1.000000
an,chn,ci,cn,k,mc,mi,mk,rt,t,:1.000000
an,chn,ci,cn,mc,mi,mk,n,rt,t,:1.000000
an,chn,ci,cn,k,mc,mk,n,rt,t,:1.000000
an,chn,ci,it,k,mc,mi,mk,n,rt,:64.000000
an,chn,ci,it,k,mc,mi,mk,n,t,:1.000000
an,chn,ci,it,k,mc,mi,mk,rt,t,:1.000000
an,chn,ci,it,mc,mi,mk,n,rt,t,:6.000000
an,chn,ci,k,mc,mi,mk,n,rt,t,:1.000000
an,chn,ci,it,k,mi,mk,n,rt,t,:1.000000
an,ci,cn,it,k,mc,mi,mk,n,rt,:2.000000
an,ci,cn,it,k,mc,mi,mk,n,t,:1.000000
an,ci,cn,it,k,mc,mi,mk,rt,t,:1.000000
an,ci,cn,it,mc,mi,mk,n,rt,t,:1.000000
an,ci,cn,k,mc,mi,mk,n,rt,t,:1.000000
an,ci,it,k,mc,mi,mk,n,rt,t,:1.000000
chn,ci,cn,it,k,mc,mi,mk,n,rt,:1.000000
chn,ci,cn,it,k,mc,mi,mk,n,t,:1.000000
chn,ci,cn,it,k,mc,mi,mk,rt,t,:1.000000
chn,ci,cn,it,mc,mi,mk,n,rt,t,:1.000000
chn,ci,cn,k,mc,mi,mk,n,rt,t,:1.000000
chn,ci,it,k,mc,mi,mk,n,rt,t,:1.000000
ci,cn,it,k,mc,mi,mk,n,rt,t,:1.000000
an,chn,ci,cn,it,k,mc,mi,mk,n,rt,:2.000000
an,chn,ci,cn,it,k,mc,mi,mk,n,t,:1.000000
an,chn,ci,cn,it,k,mc,mi,mk,rt,t,:1.000000
an,chn,ci,cn,it,mc,mi,mk,n,rt,t,:1.000000
an,chn,ci,cn,k,mc,mi,mk,n,rt,t,:1.000000
an,chn,ci,it,k,mc,mi,mk,n,rt,t,:1.000000
an,ci,cn,it,k,mc,mi,mk,n,rt,t,:1.000000
chn,ci,cn,it,k,mc,mi,mk,n,rt,t,:1.000000
an,chn,ci,cn,it,k,mc,mi,mk,n,rt,t,:1.000000
